rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/clip_range
27.643835616438356,2048,1,0.03275054794520549,21,94,,,,,,,,,,
36.51,4096,2,0.03646896,63,64,-8.691886901855469,0.000259251,-0.002747764578089118,0.022786458333333332,0.1255426944450543,3,0.0074509373,-0.014548531733453274,-1.9430517368018627,0.2
34.45,6144,3,0.04525200999999999,109,56,-0.21474945545196533,0.000259251,-0.010389602956517289,0.11100260416666667,0.0005714934278936804,6,0.011149609,-0.030617622658610344,-1.9278208253284295,0.2
29.04,8192,4,0.04253826,166,49,-0.15186715126037598,0.000259251,-0.011330958863254637,0.11344401041666667,0.0007252752102431259,9,0.00941284,-0.024468496441841125,-1.8991626612842083,0.2
37.94,10240,5,0.05138100999999999,226,45,-0.21467256546020508,0.000259251,-0.012345725068977723,0.12093098958333333,0.0012943248721057898,12,0.009252209,-0.06343721598386765,-1.887331385165453,0.2
39.23,12288,6,0.06566966999999999,311,39,-0.16488945484161377,0.000259251,-0.008993161687006554,0.1201171875,0.0009072072452909197,15,0.008404417,-0.031633514910936356,-1.8547234100600083,0.2
38.48,14336,7,0.07448961000000001,379,37,-0.024560213088989258,0.000259251,-0.017128706288834412,0.14111328125,0.00096949702007502,18,0.010983927,-0.03668734431266785,-1.8226764810582001,0.2
45.04,16384,8,0.08636576,444,36,-0.1303027868270874,0.000259251,-0.014694090515452748,0.1884765625,0.0010644637386576505,21,0.013221816,-0.01409867312759161,-1.8040346056222916,0.2
46.79,18432,9,0.09363877999999999,514,35,-0.06304824352264404,0.000259251,-0.008763188554439694,0.18229166666666666,0.0008798461276455782,24,0.011948965,-0.06052892655134201,-1.7907789759337902,0.2
46.01,20480,10,0.09156461,595,34,-0.04776012897491455,0.000259251,-0.009904767435121661,0.14811197916666666,0.0009807075184653513,27,0.011162464,-0.008880307897925377,-1.7153837854663532,0.2
51.68,22528,11,0.10607107,658,34,0.09525007009506226,0.000259251,-0.012231711802693704,0.15869140625,0.0007950555448890858,30,0.010329573,-0.012067615985870361,-1.793995387852192,0.2
42.21,24576,12,0.10994985,724,33,-0.021309375762939453,0.000259251,-0.021294068545103073,0.169921875,0.0011692904724138013,33,0.0126066655,-0.05777497589588165,-1.7277626730501652,0.2
39.18,26624,13,0.10618017000000002,790,33,-0.07485449314117432,0.000259251,-0.014105563944516083,0.15983072916666666,0.0011913564255034241,36,0.012576739,-0.019069183617830276,-1.67065184066693,0.2
42.51,28672,14,0.11702673000000001,856,33,-0.2625584602355957,0.000259251,-0.011391085882981619,0.208984375,0.0009568633989450367,39,0.014984175,-0.017847426235675812,-1.5887040036420028,0.2
44.22,30720,15,0.12436854,919,33,0.0684022307395935,0.000259251,-0.007984651970521858,0.19710286458333334,0.0008737218874254419,42,0.01519015,-0.04606950283050537,-1.600079492976268,0.2
41.88,32768,16,0.11499052000000001,987,33,-0.0006188154220581055,0.000259251,-0.012184175837319344,0.21630859375,0.0009806003915097488,45,0.015802626,-0.003462347202003002,-1.5580007880926132,0.2
42.85,34816,17,0.12028394,1056,32,0.38192248344421387,0.000259251,-0.01759293945118164,0.22379557291666666,0.0007786620280967327,48,0.013780127,-0.07042800635099411,-1.5405832566320896,0.2
47.12,36864,18,0.13386795,1119,32,0.09863048791885376,0.000259251,-0.02032245121275385,0.16764322916666666,0.0007773412683794353,51,0.014354808,-0.02821343205869198,-1.5004951221247513,0.2
48.98,38912,19,0.14127373,1190,32,0.2043810486793518,0.000259251,-0.022333583590807393,0.2001953125,0.0008387930847675307,54,0.016349081,-0.05910686030983925,-1.5077175063391526,0.2
58.41,40960,20,0.15778404000000001,1250,32,0.14854121208190918,0.000259251,-0.013975678118489062,0.23551432291666666,0.0011196827290405054,57,0.015200219,-0.03632684797048569,-1.4113760106265545,0.2
65.7,43008,21,0.16725367999999996,1316,32,-0.380570650100708,0.000259251,-0.017533573341400672,0.18294270833333334,0.0010305924121591186,60,0.017048284,-0.029274865984916687,-1.409970769037803,0.2
72.47,45056,22,0.18299173,1379,32,-0.752377986907959,0.000259251,-0.0063751242026531445,0.23942057291666666,0.0012072989235700031,63,0.021782696,-0.031438834965229034,-1.3744043335318565,0.2
