time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance
34,1,30.432835820895523,2048,0.035908208955223876,58,,,,,,,,,,
28,2,27.29,4096,0.02389442,141,-0.02409859095059801,0.2,-0.08357284218072891,0.018085916,10,-1.9394313957542182,0.1052734375,0.0003,0.01416356028548762,-1.375277042388916
28,3,32.16,6144,0.03593738999999999,215,-0.07388174998632166,0.2,-0.11516527831554413,0.045186803,20,-1.9090369205921889,0.349267578125,0.0003,0.0011929011873689887,-0.5038297176361084
29,4,41.11,8192,0.0523208,281,-0.08904485988314263,0.2,-0.11270246654748917,0.056160823,30,-1.8907220266759395,0.436279296875,0.0003,0.0009373822616908001,-0.40562140941619873
29,5,44.51,10240,0.06021954,351,-0.09823683767172042,0.2,-0.13711243867874146,0.081409514,40,-1.870336877182126,0.513232421875,0.0003,0.0008387529815081507,-0.18544602394104004
28,6,39.85,12288,0.06325839,436,-0.09689095114008524,0.2,-0.13571561872959137,0.0672804,50,-1.8259119633585215,0.513671875,0.0003,0.0007540528080426156,0.12341535091400146
28,7,42.52,14336,0.07182996,511,-0.10306970194797031,0.2,-0.14393498003482819,0.08606225,60,-1.8038723725825547,0.55615234375,0.0003,0.000726846951420157,0.2750130295753479
28,8,46.21,16384,0.07652895,580,-0.1007268009299878,0.2,-0.13498739898204803,0.08922447,70,-1.765102009102702,0.5703125,0.0003,0.0006697528234326455,0.31641554832458496
28,9,53.66,18432,0.09511836999999998,647,-0.10265467280405574,0.2,-0.1288425177335739,0.109341085,80,-1.7504865631461144,0.5810546875,0.0003,0.0007107904716576741,0.33185118436813354
28,10,66.12,20480,0.11713247999999998,719,-0.10387363494955934,0.2,-0.14249545335769653,0.11798784,90,-1.7261998195201158,0.60224609375,0.0003,0.0007633052182427491,0.3229912519454956
28,11,64.44,22528,0.13275483999999999,783,-0.10680812785576563,0.2,-0.12921828031539917,0.13232735,100,-1.7407063346356153,0.63212890625,0.0003,0.0006977799338528712,0.32342463731765747
28,12,74.37,24576,0.15465679,858,-0.11240050205378793,0.2,-0.14854830503463745,0.1447657,110,-1.6681927628815174,0.639208984375,0.0003,0.0008423588246841973,0.33765101432800293
28,13,85.46,26624,0.17656539000000002,924,-0.11335236851591617,0.2,-0.14786425232887268,0.15880108,120,-1.6585966028273105,0.665185546875,0.0003,0.0009478859443333931,0.24395209550857544
28,14,86.43,28672,0.1894847,993,-0.11145684577059001,0.2,-0.14402617514133453,0.18470845,130,-1.600662874802947,0.659716796875,0.0003,0.0008547109084247495,0.3829917907714844
28,15,85.58,30720,0.21331574000000003,1064,-0.11200254645082168,0.2,-0.15184643864631653,0.19617459,140,-1.5220440365374088,0.676806640625,0.0003,0.0009127790432103211,0.4468159079551697
29,16,95.44,32768,0.24153616999999994,1126,-0.11145052819920238,0.2,-0.14982330799102783,0.19464585,150,-1.4358613356947898,0.652587890625,0.0003,0.0012441267099347897,0.3661845326423645
29,17,90.8,34816,0.26711472999999997,1195,-0.11307390161673539,0.2,-0.14136752486228943,0.2359408,160,-1.4365399830043315,0.66689453125,0.0003,0.0012881063594250008,0.22065341472625732
29,18,90.94,36864,0.30472397,1258,-0.10536207989498507,0.2,-0.14928093552589417,0.2564787,170,-1.3281690366566181,0.64921875,0.0003,0.0013308920766576192,0.30287468433380127
29,19,99.5,38912,0.34992932000000004,1322,-0.10471296808100305,0.2,-0.12456242740154266,0.28217238,180,-1.2609669648110866,0.64580078125,0.0003,0.001679366829830542,0.3442821502685547
29,20,103.35,40960,0.38873601999999996,1388,-0.10633799247443676,0.2,-0.14663399755954742,0.32150954,190,-1.1865682013332843,0.644140625,0.0003,0.0015646066696717754,0.4627853035926819
29,21,98.83,43008,0.39589418000000004,1454,-0.10511704906239175,0.2,-0.1387462168931961,0.2985922,200,-1.1465706141665577,0.627978515625,0.0003,0.0018764160212413118,0.366573691368103
29,22,102.97,45056,0.41303862,1520,-0.10850993510102853,0.2,-0.13371561467647552,0.33164972,210,-1.1349637715145946,0.639501953125,0.0003,0.00197119352487789,0.38261711597442627
29,23,95.21,47104,0.3793919699999999,1588,-0.10664099247078411,0.2,-0.14897631108760834,0.33857906,220,-1.1459574088454247,0.64375,0.0003,0.001537367756918684,0.4894159436225891
29,24,99.37,49152,0.3893550400000001,1654,-0.09645805375184864,0.2,-0.14436005055904388,0.39210254,230,-1.0401363169774414,0.61591796875,0.0003,0.002200117330539797,0.4235232472419739
29,25,105.21,51200,0.38633511000000004,1727,-0.10431567071937024,0.2,-0.14725320041179657,0.35318798,240,-1.1285989619791508,0.643994140625,0.0003,0.001498243567857571,0.43008726835250854
29,26,111.5,53248,0.37860751,1785,-0.10070609968097415,0.2,-0.14957843720912933,0.36984503,250,-1.0921164486557244,0.63857421875,0.0003,0.0014924336483090883,0.3636077642440796
29,27,122.46,55296,0.3960932900000001,1852,-0.10125786828866694,0.2,-0.13264065980911255,0.47312033,260,-1.0801745960488915,0.652392578125,0.0003,0.0015423213911162747,0.4340752363204956
29,28,123.41,57344,0.4092566000000001,1919,-0.10685610475484282,0.2,-0.15283140540122986,0.42730448,270,-1.0752856124192476,0.664599609375,0.0003,0.0013706533383810893,0.263621985912323
29,29,134.96,59392,0.43708571,1993,-0.09996274548757356,0.2,-0.13487040996551514,0.44248194,280,-0.9185767244547606,0.616845703125,0.0003,0.0013834029553436266,0.37806785106658936
29,30,148.42,61440,0.45916520999999993,2063,-0.10114841692848131,0.2,-0.12957440316677094,0.47769737,290,-0.9490626093000174,0.63076171875,0.0003,0.0013541892224566254,0.4178965091705322
