time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_range,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates
31,63488,2083,59.25,30,0.31427779,0.2,-0.013889292255043983,-0.01733982819132507,0.000259251,-1.1146735524137814,0.02466736,0.4335676431655884,0.001058349855763178,0.20458984375,90
32,65536,2145,55.64,30,0.32760545,0.2,-0.024750959128141403,-0.014738494928072518,0.000259251,-1.0157305635511875,0.026592163,0.4052193760871887,0.0011551889601832954,0.20963541666666666,93
33,67584,2209,51.24,30,0.32816524,0.2,-0.027679838240146637,-0.014259347177964324,0.000259251,-0.9520708018292984,0.027543232,0.3623572587966919,0.001380651789077092,0.208984375,96
34,69632,2288,46.99,30,0.29177677,0.2,-0.04397536441683769,-0.016121436337319512,0.000259251,-0.9727534124006828,0.037926782,0.3780372142791748,0.0010831846078266,0.22574869791666666,99
35,71680,2348,50.59,30,0.30436899,0.2,-0.05555928871035576,-0.021135907212737948,0.000259251,-0.9344235689689716,0.046757475,0.04757046699523926,0.0016550888200678553,0.240234375,102
36,73728,2413,54.38,30,0.30918894,0.2,-0.03161684051156044,-0.01356492837658152,0.000259251,-0.951494105781118,0.027397137,0.0831526517868042,0.0011755492754067138,0.193359375,105
37,75776,2482,57.94,30,0.3434391299999999,0.2,-0.04314140975475311,-0.02115186589071527,0.000259251,-1.0494955331087112,0.025840275,0.2894662022590637,0.0012761772395606386,0.19694010416666666,108
38,77824,2544,54.78,30,0.33542677000000004,0.2,-0.013133707456290722,-0.016082488718287397,0.000259251,-0.9457157316307226,0.03996398,0.2845231294631958,0.001091721508904205,0.23860677083333334,111
39,79872,2611,56.3,30,0.35765329000000007,0.2,-0.04234807938337326,-0.015874579626445968,0.000259251,-0.9172463174909353,0.023566589,0.48032301664352417,0.0010877481751473776,0.19319661458333334,114
40,81920,2681,57.76,30,0.36957268,0.2,-0.03339746221899986,-0.018386448345457513,0.000259251,-0.9352557752281427,0.029343326,0.37497782707214355,0.0009757268374717872,0.24641927083333334,117
41,83968,2740,61.47,30,0.40566289999999994,0.2,-0.009809502400457859,-0.013037652107110867,0.000259251,-0.8780545002470413,0.027217004,0.38256484270095825,0.0011389906746141303,0.2275390625,120
42,86016,2802,59.41,30,0.41056831000000005,0.2,-0.01657160557806492,-0.020473833428695798,0.000259251,-0.8330532473822435,0.023053251,0.4313792586326599,0.0010647121368189498,0.197265625,123
43,88064,2869,59.57,30,0.42077527000000003,0.2,-0.05785192921757698,-0.020730736597518746,0.000259251,-0.8575629461556673,0.028087962,0.29796719551086426,0.0014522250451894554,0.18782552083333334,126
44,90112,2933,57.85,30,0.4146787800000001,0.2,-0.03567269816994667,-0.013128297733298192,0.000259251,-0.7564864835391442,0.025646139,0.4455791711807251,0.0009958744691781856,0.18863932291666666,129
45,92160,3002,53.92,30,0.39956754000000005,0.2,-0.02388618513941765,-0.015388182558429738,0.000259251,-0.7429119000832239,0.024261182,0.40821242332458496,0.0009779371278758238,0.17952473958333334,132
46,94208,3069,58.3,30,0.42646632999999995,0.2,-0.002043243730440736,-0.017168985737953335,0.000259251,-0.6752465565999349,0.03741312,0.45541465282440186,0.001084500505385222,0.19986979166666666,135
47,96256,3137,58.31,30,0.43783102999999995,0.2,-0.045111559331417084,-0.01734767188706125,0.000259251,-0.7231994414081176,0.03827793,0.36148911714553833,0.0012121570283246303,0.18391927083333334,138
48,98304,3204,60.33,30,0.45596517999999997,0.2,-0.024304214864969254,-0.011730552864416191,0.000259251,-0.6454468710968891,0.035699453,0.4390777349472046,0.0009136130720435176,0.18766276041666666,141
49,100352,3270,60.24,30,0.46891103000000006,0.2,-0.028237009420990944,-0.009638844329553345,0.000259251,-0.6154910021771988,0.030977823,0.5067617297172546,0.0009281806066307278,0.18294270833333334,144
50,102400,3338,59.69,30,0.46880728,0.2,-0.02461506985127926,-0.016094876317462575,0.000259251,-0.6004696044450005,0.037769943,0.4296875596046448,0.0010379698996985098,0.18115234375,147
51,104448,3398,60.52,30,0.48724192,0.2,-0.02980981022119522,-0.010975108695371697,0.000259251,-0.5148977575202783,0.030642498,0.39570188522338867,0.0011377780938346405,0.166015625,150
52,106496,3469,59.08,30,0.48632728000000003,0.2,-0.031913626939058304,-0.01137224903019766,0.000259251,-0.522503785478572,0.026444653,0.5068406760692596,0.0009481405819921443,0.1650390625,153
