rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/explained_variance,train/loss,train/learning_rate
0.014865426829268289,45,45,1,2048,24.585365853658537,,,,,,,,,,
0.031073079999999996,98,41,2,4096,31.5,-1.9448917632301648,0.09359484213049048,3,-0.0017263234476558864,0.0028286958,0.2,0.009765625,-6.106788635253906,-0.0010609288001433015,0.000259251
0.03380935,162,37,3,6144,31.12,-1.9344134889543056,0.0006240052274127569,6,-0.013567778427386656,0.013576835,0.2,0.12418619791666667,-0.21196484565734863,-0.013549751602113247,0.000259251
0.04212761999999999,239,34,4,8192,32.82,-1.9149631075561047,0.0006725223168662827,9,-0.010785377487385025,0.008525101,0.2,0.10042317708333333,-0.06284189224243164,-0.033702436834573746,0.000259251
0.05151279999999999,309,33,5,10240,38.59,-1.9009653590619564,0.0007796812794064559,12,-0.013390949209375927,0.0066861855,0.2,0.10221354166666667,-0.32649171352386475,-0.04037453234195709,0.000259251
0.07138599999999999,379,32,6,12288,37.7,-1.8687338593105476,0.0008591993707038151,15,-0.012428371895415088,0.010952489,0.2,0.16845703125,-0.1588197946548462,0.01635417714715004,0.000259251
0.08647622999999999,442,32,7,14336,36.53,-1.8067669942975044,0.0010104207843445086,18,-0.011056476039811969,0.009777117,0.2,0.138671875,-0.3522987365722656,-0.022101599723100662,0.000259251
0.09586007,521,31,8,16384,35.86,-1.7328008251885574,0.0008391793101812558,21,-0.017713494608566787,0.013623118,0.2,0.21223958333333334,-0.09345638751983643,-0.039201851934194565,0.000259251
0.11115490999999998,591,31,9,18432,38.48,-1.6867115075389545,0.0008894875839663049,24,-0.013925112910025442,0.012139222,0.2,0.18863932291666666,0.17914772033691406,-0.03541099280118942,0.000259251
0.12161289,656,31,10,20480,36.19,-1.6232296240826447,0.00102026249866564,27,-0.009324096657413369,0.013477144,0.2,0.24918619791666666,0.06841158866882324,-0.05697169154882431,0.000259251
0.11934567999999998,721,31,11,22528,36.01,-1.5731021265188854,0.001078343828036547,30,-0.0067001070322779315,0.014037443,0.2,0.20719401041666666,-0.11613500118255615,0.01076590083539486,0.000259251
0.12535113999999997,785,31,12,24576,37.32,-1.569884708772103,0.0007111643735697726,33,-0.014070373959839344,0.013560131,0.2,0.18619791666666666,0.44200414419174194,-0.03897452354431152,0.000259251
0.12793675999999998,856,31,13,26624,37.08,-1.5361641372243564,0.0007079434377980457,36,-0.01129935421825697,0.014294434,0.2,0.18294270833333334,0.10267770290374756,-0.010215765796601772,0.000259251
0.12684065,918,31,14,28672,32.2,-1.532748743891716,0.0008353114202085029,39,-0.017813555857477088,0.016147502,0.2,0.18294270833333334,0.008890032768249512,-0.042396146804094315,0.000259251
0.13222302,998,30,15,30720,30.49,-1.4652677463988464,0.000927066728460583,42,-0.02129472847445868,0.017353648,0.2,0.17854817708333334,0.2289244532585144,-0.030171096324920654,0.000259251
0.13408423,1064,30,16,32768,30.32,-1.360169678926468,0.0010043299589597154,45,-0.02154811619160076,0.01504498,0.2,0.20963541666666666,0.20113110542297363,-0.027297530323266983,0.000259251
0.15267646,1134,30,17,34816,34.61,-1.3465780404706795,0.0009504644967819331,48,-0.015018348009713614,0.018052872,0.2,0.224609375,0.016057610511779785,-5.350867286324501e-05,0.000259251
0.15638094,1205,30,18,36864,34.19,-1.372824349751075,0.0009164549937850097,51,-0.017080953325300168,0.016006231,0.2,0.18489583333333334,-0.06825625896453857,-0.04030755162239075,0.000259251
