time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
886,51006,57,0.5154430000000001,31.89,1620,0.03064885,0.00014250195818021894,0.0001,251
782,51478,65,0.5109589999999998,28.69,1640,0.02938494,2.906292866100557e-05,0.0001,369
699,52026,74,0.5057529999999999,27.04,1660,0.027835549999999994,2.4524451873730868e-05,0.0001,506
639,52494,82,0.5013069999999997,26.41,1680,0.023048240000000005,2.7919388230657205e-05,0.0001,623
594,52961,89,0.49687049999999977,24.55,1700,0.019486320000000005,7.816669494786765e-06,0.0001,740
557,53401,95,0.4926904999999998,23.95,1720,0.014616949999999997,0.0001342519244644791,0.0001,850
524,53832,102,0.48859600000000014,23.54,1740,0.01184442,2.0874365873169154e-05,0.0001,957
488,54460,111,0.48263000000000056,24.34,1760,0.01132267,8.044217247515917e-05,0.0001,1114
448,55120,122,0.47635999999999956,26.26,1780,0.013465900000000001,3.905317498720251e-06,0.0001,1279
431,55562,128,0.47216100000000005,26.01,1800,0.01610207,5.01175454701297e-05,0.0001,1390
407,56079,137,0.4672495000000001,26.78,1820,0.02049937,4.639054895960726e-05,0.0001,1519
386,56696,146,0.46138800000000035,28.64,1840,0.023407220000000003,2.64149912254652e-05,0.0001,1673
370,57274,154,0.45589699999999955,28.14,1860,0.030347960000000004,5.650533421430737e-05,0.0001,1818
356,57753,161,0.45134650000000054,26.33,1880,0.02969506,2.067113200610038e-05,0.0001,1938
342,58280,169,0.44634000000000007,27.18,1900,0.031396139999999996,2.3550093828816898e-05,0.0001,2069
330,58769,177,0.44169450000000043,26.9,1920,0.03113717,2.1916752302786335e-05,0.0001,2192
316,59441,187,0.4353105000000004,27.45,1940,0.03354063,2.406468593108002e-05,0.0001,2360
307,59910,195,0.4308549999999999,26.36,1960,0.02977622,0.00032160530099645257,0.0001,2477
295,60506,205,0.4251930000000006,27.53,1980,0.03148479000000001,6.988129462115467e-05,0.0001,2626
285,61131,214,0.41925549999999967,28.51,2000,0.02891658,3.236973861930892e-05,0.0001,2782
277,61707,222,0.4137835000000005,29.38,2020,0.035764699999999996,8.480461110593751e-05,0.0001,2926
269,62356,231,0.40761800000000037,29.15,2040,0.03949866,0.0001224312582053244,0.0001,3088
258,63231,244,0.39930549999999976,33.21,2060,0.04450126,1.6783471437520348e-05,0.0001,3307
247,64070,258,0.39133500000000043,35.64,2080,0.047515909999999995,7.24649871699512e-05,0.0001,3517
234,64804,275,0.3843620000000003,36.73,2100,0.05364918999999999,0.00012721125676762313,0.0001,3700
223,65669,294,0.3761445000000002,39.62,2120,0.054734069999999996,3.576417293515988e-05,0.0001,3917
216,66336,306,0.36980800000000047,39.8,2140,0.053153679999999995,4.3188672862015665e-05,0.0001,4083
208,67278,322,0.3608590000000006,40.47,2160,0.05623013,0.00016268737090285867,0.0001,4319
202,67961,334,0.3543705000000007,38.91,2180,0.06251405999999998,0.00012903037713840604,0.0001,4490
193,69069,356,0.34384449999999966,42.65,2200,0.06992983,7.539367652498186e-05,0.0001,4767
189,69752,368,0.33735599999999977,40.83,2220,0.07009995,6.680365913780406e-05,0.0001,4937
185,70540,381,0.32986999999999955,42.04,2240,0.07408383,4.711100336862728e-05,0.0001,5134
182,71059,390,0.32493950000000016,37.81,2260,0.07694524999999999,0.00021801350521855056,0.0001,5264
178,71839,402,0.31752950000000013,38.78,2280,0.07928311999999998,8.171453373506665e-05,0.0001,5459
173,72507,417,0.31118350000000017,34.38,2300,0.07994651,9.07227658899501e-05,0.0001,5626
169,73351,433,0.30316550000000064,35.99,2320,0.08927099,7.35708890715614e-05,0.0001,5837
165,73980,446,0.2971899999999996,34.4,2340,0.09318729000000003,8.611934026703238e-05,0.0001,5994
162,74749,460,0.28988450000000054,36.9,2360,0.09614239000000001,2.2491327399620786e-05,0.0001,6187
157,76214,484,0.27596699999999996,43.75,2380,0.10883997,3.674693653010763e-05,0.0001,6553
153,77167,502,0.26691350000000014,46.6,2400,0.11123151,6.902759923832491e-05,0.0001,6791
