time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/value_loss,train/policy_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance
2048,0.3669262142857143,1,35,72.67857142857143,57,,,,,,
4096,0.20564130952380955,2,70,90.80952380952381,57,13.028789520263672,5.023474216461182,1e-05,1,-1.9459095001220703,-0.0007497072219848633
6144,0.12007842857142854,3,105,79.67532467532467,58,5.930562973022461,2.1650028228759766,1e-05,2,-1.9459075927734375,0.0020082592964172363
8192,0.038875900000000005,4,138,80.57,59,9.776346206665039,2.9140689373016357,1e-05,3,-1.9459044933319092,0.0007261037826538086
10240,0.030729129999999997,5,171,87.68,59,8.066320419311523,2.009127378463745,1e-05,4,-1.945902943611145,0.0007454156875610352
12288,0.060337819999999945,6,205,93.93,59,5.863478660583496,0.30445051193237305,1e-05,5,-1.9459037780761719,0.007723867893218994
14336,0.04772648999999997,7,239,95.51,59,5.558401107788086,0.3564344644546509,1e-05,6,-1.9458990097045898,0.016219139099121094
16384,0.051842889999999954,8,270,107.08,60,3.661710500717163,-1.4288735389709473,1e-05,7,-1.9458979368209839,0.023141145706176758
18432,0.05460392,9,304,104.72,60,6.444780349731445,0.2963007986545563,1e-05,8,-1.9458999633789062,0.018689274787902832
20480,0.057604749999999955,10,340,101.83,60,6.81761360168457,1.1537621021270752,1e-05,9,-1.9459010362625122,0.019077539443969727
22528,0.08672798999999999,11,375,78.31,59,6.758711814880371,0.8471561670303345,1e-05,10,-1.9458951950073242,0.016237318515777588
24576,0.0743281,12,410,84.11,59,7.508457183837891,0.5072299838066101,1e-05,11,-1.9458930492401123,0.018625378608703613
26624,0.04611970000000003,13,443,95.4,60,4.365605354309082,-0.9068635702133179,1e-05,12,-1.9458847045898438,0.016325056552886963
28672,0.035410420000000005,14,477,96.88,59,5.468437671661377,-0.9361622333526611,1e-05,13,-1.945885419845581,0.030682384967803955
30720,0.07105590999999996,15,510,92.48,60,6.380980491638184,0.46128374338150024,1e-05,14,-1.9458895921707153,0.020543158054351807
32768,0.04512294,16,546,85.8,59,6.547828197479248,-0.03669051080942154,1e-05,15,-1.9458765983581543,0.023860394954681396
34816,0.07987956999999998,17,580,79.31,59,6.3415422439575195,-0.12861484289169312,1e-05,16,-1.9458611011505127,0.022757649421691895
36864,0.06599618999999998,18,613,78.68,60,5.699737548828125,0.7447242736816406,1e-05,17,-1.9458668231964111,0.03369760513305664
