time/fps,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
465,0.020394249999999996,0.5145310000000003,1660,109,22.32,51102,9.825941206145216e-05,1.9070714918537712e-05,170
407,0.02076739,0.5098189999999998,1680,126,23.13,51598,7.613272500748281e-05,1.9070714918537712e-05,230
356,0.01853091,0.5037959999999995,1700,146,24.91,52232,9.403724361618515e-05,1.9070714918537712e-05,300
316,0.015449659999999999,0.49855200000000066,1720,166,25.69,52784,6.79117676554597e-05,1.9070714918537712e-05,370
292,0.019293549999999996,0.49430549999999984,1740,182,25.84,53231,8.831286754684697e-05,1.9070714918537712e-05,430
268,0.022490140000000002,0.4896695000000004,1760,200,26.17,53719,8.811046827759129e-05,1.9070714918537712e-05,500
249,0.02382959,0.4848054999999998,1780,217,26.33,54231,6.236491281015333e-05,1.9070714918537712e-05,570
234,0.02295305,0.4804069999999999,1800,233,24.62,54694,6.086139346734853e-05,1.9070714918537712e-05,630
220,0.019722689999999998,0.4755999999999998,1820,249,24.16,55200,6.376555047609145e-05,1.9070714918537712e-05,700
208,0.024614419999999998,0.4707549999999997,1840,267,24.79,55710,5.314896952768322e-05,1.9070714918537712e-05,770
198,0.028155,0.46562499999999984,1860,282,25.31,56250,7.194108420662814e-05,1.9070714918537712e-05,830
189,0.026246230000000002,0.4602480000000003,1880,299,25.85,56816,9.280213498641388e-05,1.9070714918537712e-05,900
180,0.027462410000000003,0.45524149999999974,1900,317,26.49,57343,4.8309488283848624e-05,1.9070714918537712e-05,970
169,0.03585257,0.44589349999999994,1920,343,31.27,58327,7.881440651544836e-05,1.9070714918537712e-05,1030
163,0.033113619999999996,0.4413334999999996,1940,360,30.97,58807,6.254764211917063e-05,1.9070714918537712e-05,1100
158,0.028719050000000003,0.43754300000000024,1960,373,29.56,59206,9.35077204303525e-05,1.9070714918537712e-05,1170
152,0.027931410000000004,0.4328880000000004,1980,392,28.8,59696,7.755823789921124e-05,1.9070714918537712e-05,1230
146,0.032115899999999996,0.4278814999999998,2000,410,28.8,60223,7.651725632058514e-05,1.9070714918537712e-05,1300
141,0.028490759999999997,0.4231695000000004,2020,429,23.92,60719,7.061342839733697e-05,1.9070714918537712e-05,1370
137,0.036772019999999996,0.41643399999999964,2040,447,26.21,61428,6.194925090312609e-05,1.9070714918537712e-05,1430
133,0.042856319999999996,0.41176000000000035,2060,464,27.14,61920,5.244144936114026e-05,1.9070714918537712e-05,1500
129,0.047546920000000006,0.4069910000000003,2080,482,27.26,62422,7.207380895124516e-05,1.9070714918537712e-05,1570
126,0.044979490000000004,0.40211750000000046,2100,498,27.12,62935,8.877427708284814e-05,1.9070714918537712e-05,1630
122,0.04847308,0.39464099999999946,2120,521,30.03,63722,6.469232093877508e-05,1.9070714918537712e-05,1700
119,0.04035541,0.3897674999999997,2140,538,28.07,64235,4.504664702835726e-05,1.9070714918537712e-05,1770
116,0.03550376,0.3848275,2160,557,28.35,64755,6.751856344635598e-05,1.9070714918537712e-05,1830
113,0.035932929999999995,0.37741749999999996,2180,579,31.13,65535,5.293720096233301e-05,1.9070714918537712e-05,1900
110,0.03794887,0.3726295000000004,2200,596,31.04,66039,2.9989216091053095e-05,1.9070714918537712e-05,1970
108,0.03681442,0.36681549999999996,2220,615,29.29,66651,6.464998123192344e-05,1.9070714918537712e-05,2030
105,0.035951079999999996,0.359738,2240,636,31.61,67396,4.341647895671486e-05,1.9070714918537712e-05,2100
103,0.03937722,0.35538700000000034,2260,653,30.99,67854,4.6626169023511466e-05,1.9070714918537712e-05,2170
101,0.03528743,0.35098850000000037,2280,672,27.82,68317,3.484656745058601e-05,1.9070714918537712e-05,2230
99,0.03866028,0.34422450000000004,2300,694,29.9,69029,5.1430474013614005e-05,1.9070714918537712e-05,2300
97,0.03384357,0.3390565000000001,2320,714,29.22,69573,5.195286566959112e-05,1.9070714918537712e-05,2370
95,0.04125833999999999,0.33332799999999996,2340,732,27.8,70176,6.407690038940927e-05,1.9070714918537712e-05,2430
94,0.05016186000000001,0.3267825000000004,2360,753,30.11,70865,4.9257090176979544e-05,1.9070714918537712e-05,2500
92,0.05658021000000001,0.32065500000000036,2380,773,31.93,71510,6.598494446734549e-05,1.9070714918537712e-05,2570
90,0.05629113,0.3135869999999997,2400,795,32.25,72254,4.417060285959451e-05,1.9070714918537712e-05,2630
89,0.06324497999999999,0.3079439999999999,2420,814,32.75,72848,4.708181486421381e-05,1.9070714918537712e-05,2700
88,0.062395229999999996,0.30278550000000026,2440,833,32.15,73391,5.9928731752734164e-05,1.9070714918537712e-05,2770
86,0.05352476000000001,0.29707599999999956,2460,853,31.27,73992,6.607487512155785e-05,1.9070714918537712e-05,2830
85,0.05369225000000001,0.2915089999999998,2480,872,30.68,74578,7.189295197349566e-05,1.9070714918537712e-05,2900
84,0.05476556000000001,0.28570450000000047,2500,892,29.35,75189,4.47780013018928e-05,1.9070714918537712e-05,2970
83,0.05402368,0.27914949999999983,2520,911,30.31,75879,7.549978136012214e-05,1.9070714918537712e-05,3030
82,0.05058862,0.27327849999999976,2540,931,31.06,76497,7.199342062449431e-05,1.9070714918537712e-05,3100
80,0.050624789999999996,0.26622949999999945,2560,956,32.47,77239,8.794832165222033e-05,1.9070714918537712e-05,3170
79,0.05043228000000001,0.25952249999999966,2580,976,33.67,77945,6.032311939634383e-05,1.9070714918537712e-05,3230
78,0.04664281,0.2539650000000001,2600,997,33.41,78530,6.745913897248102e-05,1.9070714918537712e-05,3300
77,0.05153905,0.2479895000000003,2620,1017,32.8,79159,3.7391438854683654e-05,1.9070714918537712e-05,3370
76,0.05734023999999999,0.24004749999999975,2640,1041,34.98,79995,7.880625717007205e-05,1.9070714918537712e-05,3430
75,0.06859929999999999,0.23260899999999984,2660,1064,35.39,80778,5.0016585737466813e-05,1.9070714918537712e-05,3500
75,0.06830544000000001,0.22637699999999994,2680,1082,34.89,81434,4.185467132629128e-05,1.9070714918537712e-05,3570
74,0.06832023000000001,0.2205630000000005,2700,1102,35.16,82046,8.779241070442368e-05,1.9070714918537712e-05,3630
73,0.06786688,0.2126400000000005,2720,1128,37.21,82880,0.00011065330763813109,1.9070714918537712e-05,3700
72,0.06960913,0.2026935000000003,2740,1159,39.32,83927,8.256029923359165e-05,1.9070714918537712e-05,3770
71,0.06647394999999999,0.1960719999999998,2760,1180,38.46,84624,7.300956494873389e-05,1.9070714918537712e-05,3830
71,0.06862038,0.1875885000000005,2780,1204,40.83,85517,7.970051901793341e-05,1.9070714918537712e-05,3900
70,0.07618691,0.1764829999999996,2800,1236,46.4,86686,7.16737044058391e-05,1.9070714918537712e-05,3970
69,0.07948201,0.16965250000000054,2820,1258,45.25,87405,5.989228911857935e-05,1.9070714918537712e-05,4030
68,0.08056271999999998,0.16367700000000052,2840,1279,41.07,88034,6.770572927052853e-05,1.9070714918537712e-05,4100
67,0.08258214000000001,0.15195399999999992,2860,1315,46.44,89268,6.054398941159889e-05,1.9070714918537712e-05,4170
67,0.08271439000000003,0.14675750000000032,2880,1334,42.98,89815,7.581957597722067e-05,1.9070714918537712e-05,4230
66,0.08282287000000002,0.14044,2900,1354,37.94,90480,6.274481338550686e-05,1.9070714918537712e-05,4300
66,0.08133973000000001,0.13304899999999953,2920,1380,38.53,91258,9.427120021427981e-05,1.9070714918537712e-05,4370
65,0.08908987,0.1238245,2940,1409,41.95,92229,6.64064919874363e-05,1.9070714918537712e-05,4430
64,0.09037332000000001,0.11849499999999968,2960,1430,35.22,92790,0.00010046205370599637,1.9070714918537712e-05,4500
64,0.09762119999999998,0.10953650000000048,2980,1456,39.18,93733,7.613694479005061e-05,1.9070714918537712e-05,4570
63,0.09887771,0.10224999999999984,3000,1479,40.2,94500,5.8087246088689426e-05,1.9070714918537712e-05,4630
63,0.09759237000000001,0.0973860000000003,3020,1496,37.54,95012,6.991082136664772e-05,1.9070714918537712e-05,4700
62,0.09322994999999996,0.09025149999999971,3040,1521,35.34,95763,6.99453225479374e-05,1.9070714918537712e-05,4770
62,0.09855732999999997,0.08078949999999974,3060,1550,39.69,96759,0.00011130653110740241,1.9070714918537712e-05,4830
61,0.09293650999999999,0.07543149999999965,3080,1569,35.9,97323,5.3878648941463325e-05,1.9070714918537712e-05,4900
61,0.09247619,0.06951300000000038,3100,1592,34.46,97946,7.618565286975354e-05,1.9070714918537712e-05,4970
61,0.09815591,0.061751499999999626,3120,1618,37.51,98763,5.9998754659318364e-05,1.9070714918537712e-05,5030
60,0.10173922,0.055072999999999595,3140,1642,37.03,99466,9.434889761905652e-05,1.9070714918537712e-05,5100
60,0.10208163,0.05,3160,1670,35.37,100296,5.800110102427425e-05,1.9070714918537712e-05,5170
59,0.10218738,0.05,3180,1689,35.27,100850,7.085358975018607e-05,1.9070714918537712e-05,5230
59,0.10110803,0.05,3200,1709,34.29,101375,5.8853770497080404e-05,1.9070714918537712e-05,5300
58,0.10229093000000003,0.05,3220,1735,34.84,102247,7.884962014941266e-05,1.9070714918537712e-05,5370
58,0.09803373999999997,0.05,3240,1762,36.72,103138,6.861762039989117e-05,1.9070714918537712e-05,5430
57,0.09917151,0.05,3260,1802,40.49,104345,6.557568431162509e-05,1.9070714918537712e-05,5500
57,0.10448376,0.05,3280,1824,40.25,104875,6.691865537504782e-05,1.9070714918537712e-05,5570
57,0.11526147000000002,0.05,3300,1857,47.22,106097,5.639394421450561e-05,1.9070714918537712e-05,5630
56,0.11200276000000002,0.05,3320,1879,44.95,106742,5.481462740135612e-05,1.9070714918537712e-05,5700
56,0.11174661999999998,0.05,3340,1905,43.89,107527,5.445085171231767e-05,1.9070714918537712e-05,5770
56,0.11023474000000003,0.05,3360,1929,38.79,108224,6.244709402380977e-05,1.9070714918537712e-05,5830
55,0.10904761,0.05,3380,1957,42.19,109094,7.111852792149876e-05,1.9070714918537712e-05,5900
55,0.10199829999999999,0.05,3400,1986,38.81,109978,5.9127710028406e-05,1.9070714918537712e-05,5970
55,0.10298381000000001,0.05,3420,2007,38.98,110640,5.4135425307322295e-05,1.9070714918537712e-05,6030
54,0.10701619,0.05,3440,2032,38.94,111421,3.4670363675104454e-05,1.9070714918537712e-05,6100
54,0.10435421,0.05,3460,2055,37.69,111993,4.3877443658857374e-05,1.9070714918537712e-05,6170
54,0.10459203000000002,0.05,3480,2071,33.59,112453,5.290641020110343e-05,1.9070714918537712e-05,6230
53,0.1026785,0.05,3500,2091,29.44,112922,6.84303222442395e-05,1.9070714918537712e-05,6300
53,0.10543570000000002,0.05,3520,2114,29.34,113574,5.975368394501856e-05,1.9070714918537712e-05,6370
53,0.10142009,0.05,3540,2132,26.57,114078,6.14968924310233e-05,1.9070714918537712e-05,6430
53,0.10010278,0.05,3560,2149,25.73,114566,4.7572644871252126e-05,1.9070714918537712e-05,6500
53,0.10134245000000001,0.05,3580,2165,25.88,115041,6.595463310077321e-05,1.9070714918537712e-05,6570
52,0.10526806000000001,0.05,3600,2185,26.61,115583,5.7023681802093054e-05,1.9070714918537712e-05,6630
52,0.10184981,0.05,3620,2209,27.52,116326,6.869090721011162e-05,1.9070714918537712e-05,6700
52,0.10351102000000001,0.05,3640,2227,28.06,116884,5.2659309221780856e-05,1.9070714918537712e-05,6770
52,0.10419491,0.05,3660,2246,29.05,117471,6.356796293403023e-05,1.9070714918537712e-05,6830
52,0.10614879999999999,0.05,3680,2265,29.36,117977,5.096579498058418e-05,1.9070714918537712e-05,6900
51,0.10434001999999999,0.05,3700,2281,28.92,118475,5.4258173440757675e-05,1.9070714918537712e-05,6970
51,0.10831689000000001,0.05,3720,2303,28.37,119163,4.1759644409467e-05,1.9070714918537712e-05,7030
51,0.10706094999999999,0.05,3740,2321,27.4,119624,3.8868300634931074e-05,1.9070714918537712e-05,7100
51,0.10466061,0.05,3760,2338,26.05,120076,4.959579928254243e-05,1.9070714918537712e-05,7170
51,0.10649908,0.05,3780,2357,27.05,120682,4.0557094143878204e-05,1.9070714918537712e-05,7230
51,0.10889456000000002,0.05,3800,2376,28.09,121284,4.372085004433757e-05,1.9070714918537712e-05,7300
50,0.11268726999999998,0.05,3820,2400,29.18,122081,3.3782870195864235e-05,1.9070714918537712e-05,7370
50,0.11676039,0.05,3840,2421,31.24,122748,3.586492703107069e-05,1.9070714918537712e-05,7430
50,0.12467637000000002,0.05,3860,2448,35.11,123587,3.2956617906165776e-05,1.9070714918537712e-05,7500
50,0.12683513999999999,0.05,3880,2481,40.6,124742,4.7108457511058075e-05,1.9070714918537712e-05,7570
