rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.02143936,1620,26.16,0.5102274999999998,121,422,51555,220,7.449506301782094e-05,1.9070714918537712e-05
0.017682019999999996,1640,25.24,0.5053730000000005,139,373,52066,290,8.912431189855852e-05,1.9070714918537712e-05
0.016891279999999998,1660,24.77,0.5001575000000004,156,335,52615,360,9.138929085565906e-05,1.9070714918537712e-05
0.016209989999999997,1680,24.93,0.49570199999999986,174,304,53084,420,7.159523120208178e-05,1.9070714918537712e-05
0.016241850000000002,1700,24.78,0.490572,191,280,53624,490,5.164868716747151e-05,1.9070714918537712e-05
0.01763464,1720,25.61,0.4858979999999996,205,263,54116,560,7.252015643643972e-05,1.9070714918537712e-05
0.02083061,1740,24.55,0.4820504999999997,220,247,54521,620,0.00011527293145263684,1.9070714918537712e-05
0.01569196,1760,23.06,0.4782505,236,232,54921,690,7.557616208941909e-05,1.9070714918537712e-05
0.017652920000000002,1780,22.7,0.4741369999999999,252,219,55354,760,6.730311642968445e-05,1.9070714918537712e-05
0.02018717,1800,21.21,0.47042249999999963,267,208,55745,820,7.534081364610757e-05,1.9070714918537712e-05
0.023042000000000003,1820,21.63,0.4653495000000004,284,197,56279,890,6.299817614490167e-05,1.9070714918537712e-05
0.02617353,1840,21.38,0.46173949999999986,299,188,56659,960,5.406665450209402e-05,1.9070714918537712e-05
0.02803968,1860,22.09,0.4572649999999999,316,180,57130,1020,7.12303482941934e-05,1.9070714918537712e-05
0.02625349,1880,22.69,0.4525815000000002,333,172,57623,1090,7.990554040588904e-05,1.9070714918537712e-05
0.025167970000000005,1900,24.2,0.4474324999999998,351,165,58165,1160,5.840233598064515e-05,1.9070714918537712e-05
0.025126560000000003,1920,23.42,0.4431004999999998,367,159,58621,1220,4.846167621508357e-05,1.9070714918537712e-05
0.020581360000000003,1940,24.23,0.43872100000000036,385,153,59082,1290,6.793433649363579e-05,1.9070714918537712e-05
0.02215552,1960,23.91,0.4345504999999996,402,147,59521,1360,5.802205541840522e-05,1.9070714918537712e-05
0.02741349,1980,24.96,0.4288694999999998,421,142,60119,1420,7.0576746838924e-05,1.9070714918537712e-05
0.03091984,2000,24.77,0.4239010000000003,440,137,60642,1490,4.377167224447476e-05,1.9070714918537712e-05
0.038360040000000005,2020,25.4,0.4189704999999999,458,133,61161,1560,7.324771304411115e-05,1.9070714918537712e-05
0.04977129,2040,27.56,0.41253900000000054,477,129,61838,1620,4.625898109225091e-05,1.9070714918537712e-05
0.05700158999999999,2060,27.64,0.4082924999999997,496,125,62285,1690,7.092356954672142e-05,1.9070714918537712e-05
0.06652145,2080,26.31,0.4038750000000003,511,122,62750,1760,4.752998588628543e-05,1.9070714918537712e-05
0.06764706999999999,2100,26.6,0.3986310000000004,529,119,63302,1820,7.539551170339109e-05,1.9070714918537712e-05
0.06745042,2120,26.76,0.39354849999999975,549,116,63837,1890,5.5993634850892705e-05,1.9070714918537712e-05
0.06096279,2140,25.49,0.3883235000000004,568,113,64387,1960,5.377558300097007e-05,1.9070714918537712e-05
0.05721178000000001,2160,25.32,0.3842384999999999,583,111,64817,2020,4.207264018987189e-05,1.9070714918537712e-05
0.052351009999999996,2180,26.43,0.3787664999999998,602,108,65393,2090,7.247787516462267e-05,1.9070714918537712e-05
0.0494609,2200,27.42,0.3725820000000002,620,106,66044,2160,5.258023657006561e-05,1.9070714918537712e-05
0.04900916,2220,28.36,0.3666065000000003,639,104,66673,2220,6.684714708171668e-05,1.9070714918537712e-05
0.05378038000000001,2240,28.55,0.3612009999999999,660,101,67242,2290,5.451900151456357e-05,1.9070714918537712e-05
0.06233357999999998,2260,34.91,0.35107399999999966,689,99,68308,2360,5.586770912486827e-05,1.9070714918537712e-05
0.062015339999999995,2280,34.52,0.3459724999999997,705,97,68845,2420,7.176211020123446e-05,1.9070714918537712e-05
0.06514603,2300,32.88,0.3413460000000006,722,95,69332,2490,8.007482429093216e-05,1.9070714918537712e-05
0.07061933,2320,34.47,0.3338600000000004,748,93,70120,2560,4.805922453670064e-05,1.9070714918537712e-05
0.0721512,2340,36.77,0.32626950000000055,772,91,70919,2620,5.884913070985931e-05,1.9070714918537712e-05
0.07098906,2360,32.22,0.3204650000000002,793,90,71530,2690,6.32851800219214e-05,1.9070714918537712e-05
0.07464533999999999,2380,31.53,0.31601900000000005,810,88,71998,2760,4.926113069814164e-05,1.9070714918537712e-05
0.07947864,2400,32.52,0.3104520000000002,829,87,72584,2820,4.986999692846439e-05,1.9070714918537712e-05
0.0816138,2420,30.28,0.3050940000000002,850,86,73148,2890,7.777191603963729e-05,1.9070714918537712e-05
0.08007557,2440,27.58,0.3000685000000002,869,84,73677,2960,5.736728098781896e-05,1.9070714918537712e-05
