rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/n_updates,train/learning_rate
30.85,21535,0.7954175000000003,680,0.032186049999999994,31,678,,,
35.68,22631,0.7850055000000005,700,0.029944600000000002,33,678,,,
33.08,23101,0.7805404999999996,720,0.027436260000000007,34,671,,,
36.97,23977,0.7722184999999997,740,0.03800667,35,676,,,
36.51,24490,0.7673449999999999,760,0.03656867,35,680,,,
34.64,24999,0.7625095000000001,780,0.032142010000000006,36,685,,,
28.8,25511,0.7576455000000005,800,0.03142132,36,690,,,
31.7,26271,0.7504254999999996,820,0.035953679999999995,37,699,,,
29.66,26943,0.7440414999999996,840,0.035254999999999995,38,707,,,
35.82,28072,0.7333160000000002,860,0.041483679999999995,39,715,,,
36.05,28604,0.7282620000000004,880,0.039658139999999995,40,707,,,
37.27,29238,0.7222390000000002,900,0.03837509,41,709,,,
35.37,29808,0.7168239999999995,920,0.03512277,41,714,,,
38.25,30768,0.7077039999999999,940,0.03113191,44,697,,,
32.3,31302,0.7026309999999996,960,0.02323472,45,694,,,
32.24,31828,0.6976340000000003,980,0.02643869,45,698,,,
31.42,32380,0.6923900000000003,1000,0.027434299999999995,46,701,,,
30.3,32838,0.6880389999999996,1020,0.027367020000000002,46,706,,,
27.96,33564,0.6811419999999997,1040,0.028343889999999997,47,709,,,
28.75,34177,0.6753184999999999,1060,0.03134379,47,715,,,
28.33,34661,0.6707204999999996,1080,0.03262822,48,715,,,
29.09,35289,0.6647544999999999,1100,0.033135529999999996,48,721,,,
30.23,35861,0.6593204999999998,1120,0.03362197000000001,49,723,,,
28.85,36449,0.6537345000000004,1140,0.03107388,50,726,,,
29.44,37121,0.6473505000000004,1160,0.029115750000000006,51,720,,,
28.72,37533,0.6434364999999996,1180,0.02367747,52,720,,,
27.34,38023,0.6387814999999998,1200,0.021446870000000003,52,721,,,
27.78,38639,0.6329295000000003,1220,0.02143049,54,710,,,
26.88,39137,0.6281985000000003,1240,0.020763089999999998,54,714,,,
26.56,39777,0.6221185000000005,1260,0.019859979999999996,55,716,,,
33.18,40851,0.6119155000000003,1280,0.029667710000000003,57,716,,,
36.31,41654,0.6042870000000004,1300,0.03483266,58,718,,,
40.79,42718,0.5941789999999998,1320,0.042050220000000006,58,727,,,
43.45,43482,0.5869209999999998,1340,0.04606604999999998,59,730,,,
44.37,44214,0.5799670000000003,1360,0.04787731,60,734,,,
37.74,44625,0.5760624999999998,1380,0.035806519999999994,60,734,,,
34.9,45144,0.5711320000000004,1400,0.033412559999999994,61,733,,,
29.99,45717,0.5656884999999999,1420,0.027158579999999998,61,737,,,
26.95,46177,0.5613184999999998,1440,0.023231390000000005,62,736,,,
24.96,46710,0.5562549999999997,1460,0.02287787,64,725,,,
26.76,47301,0.5506404999999996,1480,0.029855860000000005,65,724,,,
27.55,47899,0.5449594999999998,1500,0.03098622,65,727,,,
28.67,48584,0.5384520000000004,1520,0.033206559999999996,66,730,,,
29.72,49149,0.5330845,1540,0.03281796,67,731,,,
30.69,49779,0.5270994999999998,1560,0.03153850999999999,67,734,,,
32.65,50566,0.5196230000000001,1580,0.03207731999999999,77,655,9.778795356396586e-05,141,0.0001
