time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
33,747,0.03391833,30.91,25163,800,0.7609514999999996,,,
34,749,0.03311977000000001,31.34,25700,820,0.7558499999999995,,,
34,751,0.02895921,30.79,26138,840,0.751689,,,
35,761,0.0315852,32.12,27138,860,0.7421890000000001,,,
36,765,0.03397172000000001,33.55,27849,880,0.7354345,,,
38,732,0.03168345,31.17,28280,900,0.7313400000000003,,,
39,723,0.02888583,30.58,28758,920,0.7267990000000005,,,
40,727,0.03513875,32.6,29398,940,0.7207189999999997,,,
41,732,0.03396271000000001,31.86,30324,960,0.7119219999999999,,,
42,737,0.03542258999999999,33.97,31246,980,0.7031630000000001,,,
42,740,0.03678369,34.53,31733,1000,0.6985364999999999,,,
44,731,0.03875943,34.56,32214,1020,0.6939670000000004,,,
45,726,0.03559672999999999,32.98,32696,1040,0.6893879999999994,,,
46,720,0.029283290000000003,28.75,33199,1060,0.6846095000000003,,,
46,724,0.028276449999999995,26.19,33865,1080,0.6782824999999997,,,
47,717,0.023661680000000004,25.96,34329,1100,0.6738744999999995,,,
48,714,0.02579272,27.65,34979,1120,0.6676995000000001,,,
50,709,0.031099620000000005,29.28,35624,1140,0.6615720000000002,,,
50,713,0.029612740000000005,28.69,36068,1160,0.6573540000000002,,,
51,719,0.027213750000000002,31.27,36992,1180,0.6485759999999998,,,
