time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
178,0.02676551,51737,29.78,1640,289,0.5084984999999997,434,0.00029008075944148004,0.0001
191,0.03392103,52424,31.4,1660,273,0.5019719999999999,605,0.00013762882736045867,0.0001
201,0.03232461999999999,52880,29.03,1680,261,0.49763999999999975,719,0.00013174190826248378,0.0001
212,0.034155990000000004,53452,28.11,1700,251,0.4922059999999995,862,0.00015407059981953353,0.0001
222,0.03452278,53863,26.65,1720,242,0.48830150000000017,965,1.5102125871635508e-05,0.0001
235,0.03696525,54532,27.95,1740,231,0.48194599999999976,1132,0.00012309841986279935,0.0001
244,0.03237298999999999,54977,25.53,1760,224,0.4777184999999995,1244,0.00015572685515508056,0.0001
255,0.032455769999999995,55471,25.91,1780,217,0.47302549999999965,1367,1.5439783965121023e-05,0.0001
267,0.03298354,56044,25.92,1800,209,0.4675820000000003,1510,2.7574793421081267e-05,0.0001
277,0.03526695,56546,26.83,1820,203,0.46281300000000025,1636,5.377904926717747e-06,0.0001
289,0.03454039,57046,25.14,1840,197,0.45806299999999966,1761,2.5901143089868128e-05,0.0001
298,0.030915710000000006,57464,24.87,1860,192,0.4540920000000004,1865,2.2837581127532758e-05,0.0001
310,0.035143020000000004,58079,26.08,1880,186,0.4482495000000002,2019,1.2789969332516193e-05,0.0001
321,0.03022094000000001,58566,25.22,1900,182,0.443623,2141,1.03324937299476e-05,0.0001
335,0.033799819999999994,59148,26.02,1920,176,0.4380940000000002,2286,2.1262807422317564e-05,0.0001
347,0.03383556,59657,26.11,1940,171,0.43325850000000043,2414,1.7194539395859465e-05,0.0001
361,0.039897760000000004,60285,28.21,1960,166,0.42729249999999974,2571,5.341687210602686e-05,0.0001
373,0.04252038,60812,27.33,1980,162,0.4222860000000003,2702,2.0541780031635426e-05,0.0001
385,0.05497019,61382,28.16,2000,159,0.41687099999999966,2845,0.0002574272220954299,0.0001
400,0.05988396,62018,28.7,2020,154,0.4108289999999999,3004,0.0001878180046333,0.0001
415,0.07124195,62672,30.15,2040,150,0.40461599999999953,3167,2.4225792003562674e-05,0.0001
430,0.07738536000000001,63374,30.89,2060,147,0.3979469999999996,3343,1.0495572496438399e-05,0.0001
445,0.0792652,64030,32.18,2080,143,0.3917149999999997,3507,4.152539622737095e-05,0.0001
455,0.07619921,64541,31.59,2100,141,0.3868605000000005,3635,1.766642162692733e-05,0.0001
474,0.07810804,65357,33.39,2120,137,0.37910850000000007,3839,2.0482102627283894e-05,0.0001
486,0.07922615999999999,65849,31.77,2140,135,0.37443449999999956,3962,2.051884075626731e-05,0.0001
503,0.07840137,66760,33.86,2160,132,0.36577999999999966,4189,2.092756039928645e-05,0.0001
529,0.07988506,67954,39.24,2180,128,0.35443700000000045,4488,7.905374513939023e-05,0.0001
552,0.08237555,69012,44.71,2200,124,0.3443860000000004,4752,3.553560600266792e-05,0.0001
563,0.08018038,69489,41.32,2220,123,0.33985449999999984,4872,1.8642802388058044e-05,0.0001
584,0.07893741,70339,44.9,2240,120,0.33177949999999967,5084,2.491272425686475e-05,0.0001
607,0.08407950999999998,71325,45.65,2260,117,0.32241250000000043,5331,0.00013573552132584155,0.0001
639,0.09211188000000002,72800,48.46,2280,113,0.30840000000000034,5699,2.3275919375009835e-05,0.0001
678,0.10215212,74428,54.16,2300,109,0.2929340000000007,6106,3.5433862649369985e-05,0.0001
705,0.11108025000000002,75494,60.05,2320,107,0.2828070000000006,6373,2.3669726942898706e-05,0.0001
742,0.11972868,77118,67.79,2340,103,0.2673789999999999,6779,1.8367523807683028e-05,0.0001
777,0.12918291999999998,78610,72.85,2360,101,0.25320500000000046,7152,0.0001983236870728433,0.0001
808,0.13245772000000003,80013,72.13,2380,98,0.23987650000000016,7503,5.526082532014698e-05,0.0001
830,0.12639699000000001,80926,64.98,2400,97,0.2312029999999995,7731,5.308928666636348e-05,0.0001
850,0.12257937999999999,81670,61.76,2420,96,0.22413499999999986,7917,4.1082479583565146e-05,0.0001
867,0.12040405,82438,53.2,2440,95,0.2168389999999999,8109,0.0001416175509802997,0.0001
886,0.11344692999999997,83206,45.96,2460,93,0.20954300000000003,8301,4.385490683489479e-05,0.0001
913,0.11351852,84341,43.28,2480,92,0.1987605,8585,6.802358257118613e-05,0.0001
955,0.12261666999999997,86183,52.57,2500,90,0.18126149999999996,9045,3.383825605851598e-05,0.0001
972,0.12271561,86922,52.52,2520,89,0.17424100000000065,9230,3.725465649040416e-05,0.0001
1009,0.13097995000000004,88548,61.1,2540,87,0.15879400000000043,9636,2.2999680368229747e-05,0.0001
1023,0.12864106,89116,59.1,2560,87,0.15339800000000026,9778,1.7199023204739206e-05,0.0001
1064,0.13806171999999997,90754,64.13,2580,85,0.1378370000000001,10188,1.352487197436858e-05,0.0001
1118,0.14964248000000002,93010,68.27,2600,83,0.11640499999999965,10752,8.896939107216895e-06,0.0001
1148,0.16265942,94310,73.88,2620,82,0.10405500000000012,11077,2.9799775802530348e-05,0.0001
1190,0.17042102999999995,96088,75.4,2640,80,0.08716400000000057,11521,1.7704016499919817e-05,0.0001
1225,0.18918608000000006,97515,83.99,2660,79,0.07360749999999994,11878,1.2940239685121924e-05,0.0001
1266,0.19665937,99242,84.88,2680,78,0.05720099999999961,12310,0.00012986283400096,0.0001
1317,0.20360579,101224,82.14,2700,76,0.05,12805,5.723046706407331e-05,0.0001
1390,0.23009807000000002,104259,99.49,2720,74,0.05,13564,1.3478855180437677e-05,0.0001
1453,0.25453444000000003,106773,106.85,2740,73,0.05,14193,1.574206180521287e-05,0.0001
1518,0.29586397,109350,118.35,2760,72,0.05,14837,2.8101976567995735e-05,0.0001
1588,0.33140155999999993,112202,129.6,2780,70,0.05,15550,4.8370493459515274e-05,0.0001
1646,0.36583887,114686,134.62,2800,69,0.05,16171,1.771305687725544e-05,0.0001
1723,0.40477103,118004,137.45,2820,68,0.05,17000,1.4841239135421347e-05,0.0001
1774,0.4366855399999999,120016,132.43,2840,67,0.05,17503,5.579678690992296e-05,0.0001
1855,0.46524345000000006,123272,139.22,2860,66,0.05,18317,2.8989004931645468e-05,0.0001
1920,0.48491913000000003,126036,138.34,2880,65,0.05,19008,1.9143548342981376e-05,0.0001
1971,0.49097617,128232,135.46,2900,65,0.05,19557,2.631535244290717e-05,0.0001
2039,0.48931108000000006,131001,129.97,2920,64,0.05,20250,5.511372728506103e-05,0.0001
2095,0.4992869,133299,132.83,2940,63,0.05,20824,0.0001489058486185968,0.0001
2163,0.4977340700000001,136082,128.1,2960,62,0.05,21520,6.532695260830224e-05,0.0001
2214,0.5069458900000001,138297,122.61,2980,62,0.05,22074,1.0344804650230799e-05,0.0001
2281,0.52583052,140980,127.48,3000,61,0.05,22744,4.104190884390846e-05,0.0001
2356,0.54778435,144113,131.12,3020,61,0.05,23528,4.337536302045919e-05,0.0001
2415,0.5439334800000001,146427,131.28,3040,60,0.05,24106,2.5671259209048003e-05,0.0001
2485,0.54049583,149277,131.95,3060,60,0.05,24819,9.605434024706483e-05,0.0001
2560,0.55121105,152402,141.05,3080,59,0.05,25600,8.931995398597792e-05,0.0001
2627,0.5579826099999999,155161,141.81,3100,59,0.05,26290,2.514837797207292e-05,0.0001
2676,0.5469314700000001,157417,133.04,3120,58,0.05,26854,6.320606917142868e-05,0.0001
2757,0.55619986,160799,143.72,3140,58,0.05,27699,0.0001831903209676966,0.0001
2807,0.55274135,162946,136.69,3160,58,0.05,28236,6.446724000852555e-05,0.0001
2876,0.57273159,165714,133.12,3180,57,0.05,28928,2.9203756639617495e-05,0.0001
2927,0.5800628,167747,125.86,3200,57,0.05,29436,1.6442912965430878e-05,0.0001
2996,0.60768429,170562,131.45,3220,56,0.05,30140,7.411866681650281e-05,0.0001
3046,0.6001298500000001,172590,117.91,3240,56,0.05,30647,1.8585009456728585e-05,0.0001
3104,0.61951049,174985,120.39,3260,56,0.05,31246,0.0007172496989369392,0.0001
3152,0.5696656099999999,176967,112.53,3280,56,0.05,31741,7.739911961834878e-05,0.0001
3197,0.55594245,178863,111.16,3300,55,0.05,32215,3.880009171552956e-05,0.0001
3259,0.55495856,181336,107.74,3320,55,0.05,32833,6.23247105977498e-05,0.0001
3334,0.5885316700000001,184539,119.49,3340,55,0.05,33634,0.00023778063768986613,0.0001
3393,0.60033895,186912,119.27,3360,55,0.05,34227,6.034523175912909e-05,0.0001
3459,0.6316578899999999,189617,126.5,3380,54,0.05,34904,2.5775832909857854e-05,0.0001
3528,0.6678903199999998,192393,135.3,3400,54,0.05,35598,6.896630657138303e-05,0.0001
3581,0.655578,194558,132.22,3420,54,0.05,36139,7.891514542279765e-05,0.0001
3637,0.6404519599999999,196896,123.57,3440,54,0.05,36723,2.925306762335822e-05,0.0001
3695,0.6281089,199385,124.73,3460,53,0.05,37346,5.937612149864435e-05,0.0001
3756,0.64199928,201814,121.97,3480,53,0.05,37953,8.314558363053948e-05,0.0001
3816,0.6458658100000001,204269,118.76,3500,53,0.05,38567,4.4395015720510855e-05,0.0001
3874,0.64962786,206553,119.95,3520,53,0.05,39138,0.00011657987488433719,0.0001
3937,0.6793671899999998,209160,122.64,3540,53,0.05,39789,0.00013649447646457702,0.0001
3997,0.66839601,211438,120.53,3560,52,0.05,40359,0.00012261696974746883,0.0001
4053,0.6750388599999999,213701,118.87,3580,52,0.05,40925,5.6984121329151094e-05,0.0001
4111,0.66911765,216220,119.51,3600,52,0.05,41554,4.2973540985258296e-05,0.0001
4176,0.6785359100000001,218824,122.71,3620,52,0.05,42205,2.9394692319328897e-05,0.0001
4237,0.6623454500000001,221209,120.49,3640,52,0.05,42802,0.00046781718265265226,0.0001
4285,0.6795348399999999,223182,117.44,3660,52,0.05,43295,0.00010340983862988651,0.0001
4334,0.6606282399999999,225107,114.06,3680,51,0.05,43776,4.131118475925177e-05,0.0001
4392,0.6575349599999999,227406,111.86,3700,51,0.05,44351,3.057125286431983e-05,0.0001
4442,0.63883651,229454,106.3,3720,51,0.05,44863,4.7979883674997836e-05,0.0001
4499,0.6407772400000001,231847,106.38,3740,51,0.05,45461,6.11217983532697e-05,0.0001
4567,0.66097451,234588,114.06,3760,51,0.05,46146,5.5660479119978845e-05,0.0001
4633,0.6676213399999998,237298,121.91,3780,51,0.05,46824,5.776971374871209e-05,0.0001
4685,0.6535278600000001,239457,120.51,3800,51,0.05,47364,3.0387982405954972e-05,0.0001
4738,0.67100128,241676,122.22,3820,51,0.05,47918,0.00015610229456797242,0.0001
4784,0.6452047900000001,243550,117.03,3840,50,0.05,48387,5.8902925957227126e-05,0.0001
4841,0.6259947699999999,245824,112.36,3860,50,0.05,48955,4.6027453208807856e-05,0.0001
4885,0.5909969599999999,247589,102.91,3880,50,0.05,49397,8.291569247376174e-05,0.0001
4950,0.5861536500000001,250258,108.01,3900,50,0.05,50064,0.0001636178931221366,0.0001
5001,0.5800987200000001,252435,107.59,3920,50,0.05,50608,0.00010100960935233161,0.0001
5053,0.59108343,254561,110.11,3940,50,0.05,51140,9.473193495068699e-05,0.0001
5109,0.58804567,256745,109.21,3960,50,0.05,51686,0.00030174682615324855,0.0001
5185,0.63533734,259833,122.44,3980,50,0.05,52458,0.0003479663864709437,0.0001
5253,0.65475657,262722,124.64,4000,50,0.05,53180,5.8163743233308196e-05,0.0001
5309,0.6425760500000002,265110,126.75,4020,49,0.05,53777,1.8739978258963674e-05,0.0001
5378,0.6798171799999999,268055,134.94,4040,49,0.05,54513,2.619905353640206e-05,0.0001
5449,0.6903804500000001,270919,141.74,4060,49,0.05,55229,8.15482489997521e-05,0.0001
5500,0.6565880299999999,273015,131.82,4080,49,0.05,55753,4.698579869000241e-05,0.0001
5569,0.67010647,275781,130.59,4100,49,0.05,56445,5.388664430938661e-05,0.0001
5634,0.6758865699999999,278280,131.7,4120,49,0.05,57069,4.148273728787899e-05,0.0001
5718,0.67822796,281613,135.58,4140,49,0.05,57903,7.600892422487959e-05,0.0001
5782,0.68978897,284279,133.6,4160,49,0.05,58569,0.0002007716684602201,0.0001
5846,0.7386290000000002,287004,139.89,4180,49,0.05,59250,3.253671820857562e-05,0.0001
5916,0.7243053599999999,289810,140.29,4200,48,0.05,59952,8.934660581871867e-05,0.0001
5983,0.74702284,292665,143.85,4220,48,0.05,60666,9.517033322481439e-05,0.0001
6037,0.6972748500000001,294858,132.45,4240,48,0.05,61214,5.8802790590561926e-05,0.0001
6099,0.68962578,297397,131.18,4260,48,0.05,61849,4.491812796914019e-05,0.0001
6152,0.64880792,299633,126.29,4280,48,0.05,62408,5.005967614124529e-05,0.0001
6226,0.65093979,302791,129.81,4300,48,0.05,63197,4.8826521378941834e-05,0.0001
6311,0.6530229599999999,306222,135.57,4320,48,0.05,64055,3.193269731127657e-05,0.0001
6398,0.6946266499999999,309634,147.76,4340,48,0.05,64908,3.699936860357411e-05,0.0001
6463,0.7126526800000001,312420,150.23,4360,48,0.05,65604,5.1951283239759505e-05,0.0001
6539,0.7435962199999999,315727,160.94,4380,48,0.05,66431,5.059720569988713e-05,0.0001
6597,0.72350683,318127,153.36,4400,48,0.05,67031,3.193969314452261e-05,0.0001
6668,0.70208658,320920,146.98,4420,48,0.05,67729,6.900105654494837e-05,0.0001
6731,0.6956312200000001,323534,139.0,4440,48,0.05,68383,6.962190673220903e-05,0.0001
6801,0.6909075399999999,326448,140.28,4460,47,0.05,69111,5.9550682635745034e-05,0.0001
6869,0.68852193,329214,134.87,4480,47,0.05,69803,3.480225132079795e-05,0.0001
6923,0.66614445,331304,131.77,4500,47,0.05,70325,0.0005492607597261667,0.0001
6993,0.6890079000000001,334361,134.41,4520,47,0.05,71090,0.00019780280126724392,0.0001
7063,0.68245953,337380,138.46,4540,47,0.05,71844,5.5571188568137586e-05,0.0001
7140,0.6760499799999999,340419,139.71,4560,47,0.05,72604,6.56761258142069e-05,0.0001
7209,0.6575175100000001,343373,141.59,4580,47,0.05,73343,5.8498735597822815e-05,0.0001
7265,0.68648017,345666,143.62,4600,47,0.05,73916,0.00022978975903242826,0.0001
7330,0.68695078,348419,140.58,4620,47,0.05,74604,3.3396521757822484e-05,0.0001
7376,0.66881699,350387,130.07,4640,47,0.05,75096,0.00011227783397771418,0.0001
7441,0.66701931,353038,126.19,4660,47,0.05,75759,3.7385303585324436e-05,0.0001
7491,0.6653299499999998,355054,116.81,4680,47,0.05,76263,3.50306618202012e-05,0.0001
7548,0.68504937,357438,117.72,4700,47,0.05,76859,6.424132880056277e-05,0.0001
7606,0.6696419,359870,114.51,4720,47,0.05,77467,4.227559838909656e-05,0.0001
7663,0.68231391,362176,117.89,4740,47,0.05,78043,8.788987179286778e-05,0.0001
7723,0.6787247700000001,364670,116.32,4760,47,0.05,78667,6.416534597519785e-05,0.0001
7792,0.71431563,367411,123.57,4780,47,0.05,79352,9.516635327599943e-05,0.0001
7862,0.7221999,370340,129.02,4800,47,0.05,80084,7.30749816284515e-05,0.0001
7918,0.7096132599999998,372552,126.82,4820,47,0.05,80637,5.5902604799484834e-05,0.0001
7995,0.72120449,375710,135.34,4840,46,0.05,81427,9.669735300121829e-05,0.0001
8063,0.7349399099999999,378461,137.91,4860,46,0.05,82115,8.302305650431663e-05,0.0001
8127,0.6993343100000001,380961,135.5,4880,46,0.05,82740,9.404589945916086e-05,0.0001
8182,0.6751777000000001,383251,129.11,4900,46,0.05,83312,0.00011780569184338674,0.0001
8247,0.69243371,385996,134.44,4920,46,0.05,83998,0.00010973740427289158,0.0001
8301,0.6463521799999999,388116,124.06,4940,46,0.05,84528,2.1545116396737285e-05,0.0001
8358,0.60791907,390489,120.28,4960,46,0.05,85122,0.00013194922939874232,0.0001
8432,0.6231945400000001,393544,125.83,4980,46,0.05,85885,8.445083221886307e-05,0.0001
8492,0.60282545,395779,125.28,5000,46,0.05,86444,8.346982940565795e-05,0.0001
8577,0.60752035,399265,132.69,5020,46,0.05,87316,5.7977984397439286e-05,0.0001
8665,0.63486497,402974,148.58,5040,46,0.05,88243,0.00012007358600385487,0.0001
8747,0.6770557100000001,406321,158.32,5060,46,0.05,89080,5.674736530636437e-05,0.0001
8828,0.6703519200000001,409666,161.22,5080,46,0.05,89916,3.52065653714817e-05,0.0001
8885,0.69290182,412005,162.26,5100,46,0.05,90501,5.1967006584163755e-05,0.0001
8959,0.6790670400000001,415132,158.67,5120,46,0.05,91282,4.093435200047679e-05,0.0001
9031,0.7090386500000001,418213,152.39,5140,46,0.05,92053,5.847911961609498e-05,0.0001
9102,0.6859032899999998,421216,148.95,5160,46,0.05,92803,4.701160651165992e-05,0.0001
9173,0.7019864100000001,424090,144.24,5180,46,0.05,93522,3.094478597631678e-05,0.0001
9241,0.71718197,426910,149.05,5200,46,0.05,94227,0.00020510984177235514,0.0001
9300,0.7146141300000001,429387,142.55,5220,46,0.05,94846,0.000671981368213892,0.0001
9359,0.69511342,431832,136.19,5240,46,0.05,95457,0.0001371422258671373,0.0001
9417,0.69726628,434260,130.44,5260,46,0.05,96064,6.079844752093777e-05,0.0001
9489,0.6837189499999999,437154,130.64,5280,46,0.05,96788,7.995509076863527e-05,0.0001
9562,0.6914440499999999,440167,132.57,5300,46,0.05,97541,5.654486085404642e-05,0.0001
9615,0.6838425600000001,442465,130.78,5320,46,0.05,98116,0.0001342651667073369,0.0001
9694,0.6979813100000001,445678,138.46,5340,45,0.05,98919,0.0002893012424465269,0.0001
9757,0.69421052,448215,139.55,5360,45,0.05,99553,2.6943356715491973e-05,0.0001
9814,0.6939730199999998,450626,134.72,5380,45,0.05,100156,5.105091258883476e-05,0.0001
9886,0.6798151899999999,453600,134.33,5400,45,0.05,100899,3.6400644603418186e-05,0.0001
9936,0.6765061300000003,455654,131.89,5420,45,0.05,101413,0.0001483072410337627,0.0001
9993,0.6524966900000001,457909,122.31,5440,45,0.05,101977,0.0001347886136500165,0.0001
10054,0.66144574,460482,122.67,5460,45,0.05,102620,0.00015519876615144312,0.0001
10112,0.6506407299999999,462899,122.73,5480,45,0.05,103224,0.00016393334954045713,0.0001
10171,0.6450686,465341,117.41,5500,45,0.05,103835,9.44187049753964e-05,0.0001
10226,0.6565510499999999,467637,119.83,5520,45,0.05,104409,4.8046495066955686e-05,0.0001
10296,0.67498656,470404,124.95,5540,45,0.05,105100,6.026787013979629e-05,0.0001
10365,0.69968164,473335,128.53,5560,45,0.05,105833,0.00014357207692228258,0.0001
10437,0.7312374099999999,476287,133.88,5580,45,0.05,106571,0.0001265852915821597,0.0001
10510,0.7445954699999998,479418,140.77,5600,45,0.05,107354,9.677746129455045e-05,0.0001
10591,0.7579491800000002,482755,151.18,5620,45,0.05,108188,7.787665526848286e-05,0.0001
10665,0.7726476599999998,485908,155.04,5640,45,0.05,108976,0.0006043764296919107,0.0001
10749,0.7501244899999999,489368,160.33,5660,45,0.05,109841,0.0002084501611534506,0.0001
10817,0.7500406599999999,492216,159.29,5680,45,0.05,110553,5.392860475694761e-05,0.0001
10896,0.75376705,495433,160.15,5700,45,0.05,111358,7.123971590772271e-05,0.0001
10995,0.79104928,499480,167.25,5720,45,0.05,112369,5.534740921575576e-05,0.0001
11072,0.77614559,502764,168.56,5740,45,0.05,113190,8.594819519203156e-05,0.0001
11162,0.7964781699999999,506412,170.44,5760,45,0.05,114102,5.9475038142409176e-05,0.0001
11261,0.79936847,510415,181.99,5780,45,0.05,115103,9.465614857617766e-05,0.0001
11340,0.8000554300000001,513618,181.85,5800,45,0.05,115904,0.00025163061218336225,0.0001
