rollout/ep_rew_mean,time/total_timesteps,time/episodes
0.04373565,546,20
0.05864015,1497,40
0.0547156833333333,2175,60
0.0501015374999999,2868,80
0.04498401,3548,100
0.04319198,4186,120
0.0329325599999999,4702,140
0.03160169,5330,160
0.0296405899999999,5887,180
0.02811393,6430,200
0.02640408,6883,220
0.0288810599999999,7787,240
0.02221548,8217,260
0.02259461,8750,280
0.02628106,9718,300
0.0310346199999999,10482,320
0.0283146799999999,10951,340
0.0312397,11564,360
0.03187811,12194,380
0.03105777,12797,400
0.0228921999999999,13355,420
0.02881483,14632,440
0.02911044,15265,460
0.0303486599999999,15784,480
0.03457541,16489,500
0.0421087199999999,17149,520
0.0344796499999999,17594,540
0.03732411,18119,560
0.03723141,18673,580
0.03401119,19355,600
0.03029474,19882,620
0.03514367,20449,640
0.03461974,21024,660
0.03309785,21548,680
0.0326720199999999,22138,700
0.03366455,22733,720
0.03146669,23211,740
0.03128858,24045,760
0.03340759,24669,780
0.0341621,25159,800
0.0351146799999999,25743,820
0.03345272,26172,840
0.0299216099999999,26604,860
0.02762897,27031,880
0.02818788,27836,900
0.02614989,28870,920
0.02979465,29528,940
0.02873964,30004,960
0.02731836,30544,980
0.02421419,31209,1000
0.0255818399999999,31944,1020
0.02375772,32439,1040
0.02802029,33086,1060
0.02868867,33591,1080
0.02733888,34037,1100
0.02899798,34965,1120
0.0300769499999999,35452,1140
0.0308573299999999,36063,1160
0.03124604,37064,1180
0.03305536,37612,1200
0.0310269699999999,38119,1220
0.03248761,38638,1240
0.03026438,39175,1260
0.02642845,39666,1280
0.02229677,40173,1300
0.02246765,40821,1320
0.02098042,41322,1340
0.02629148,42236,1360
0.0302361899999999,42674,1380
0.03204118,43181,1400
0.0296817399999999,43757,1420
0.03026993,44256,1440
0.0262706299999999,44724,1460
0.02630764,45237,1480
0.03045506,45731,1500
0.03116909,46410,1520
0.0288317299999999,46899,1540
0.03274701,47504,1560
0.03505273,48425,1580
0.03554727,49002,1600
0.03274674,49603,1620
0.031184,50144,1640
0.0240853599999999,50590,1660
0.0195358,51022,1680
0.02305169,51711,1700
0.02350704,52127,1720
0.0251034999999999,52550,1740
0.03118654,53298,1760
0.03435112,54057,1780
0.02531308,54538,1800
0.02783472,55085,1820
0.03440081,55634,1840
0.0343908999999999,56304,1860
0.02989756,56790,1880
0.0287082899999999,57256,1900
0.02744427,57707,1920
0.0175509999999999,58181,1940
0.01867501,58637,1960
0.01915869,59102,1980
0.02863105,59669,2000
0.03493698,60182,2020
0.04261556,60805,2040
0.04525418,61397,2060
0.05167939,62041,2080
0.06281737,63137,2100
0.0717036899999999,64251,2120
0.07496278,64703,2140
0.08011878,65425,2160
0.08347523,65927,2180
0.07644336,66667,2200
0.0757816,67863,2220
0.08032638,68708,2240
0.07399297,69461,2260
0.07582465,70119,2280
0.07345479,70800,2300
0.07551824,71446,2320
0.07730374,72176,2340
0.08327024,72834,2360
0.08886257,73730,2380
0.09822749,74282,2400
0.0997396499999999,75233,2420
0.09902454,75897,2440
0.10013862,76577,2460
0.10036737,77186,2480
0.09660098,78007,2500
0.0920196299999999,78683,2520
0.09250567,79325,2540
0.09180822,79976,2560
0.08886832,80698,2580
0.0888170499999999,81268,2600
0.09047333,81898,2620
0.09511543,82568,2640
0.09580935,83621,2660
0.1001075,84773,2680
0.1060345,85722,2700
0.1113240799999999,86490,2720
0.1096740299999999,87511,2740
0.11011042,88097,2760
0.1113893099999999,89130,2780
0.1088583899999999,90162,2800
0.10640346,91111,2820
0.1097055599999999,91897,2840
0.1122093,92687,2860
0.11277784,93537,2880
0.11351878,94063,2900
0.1149641399999999,94821,2920
0.1147927999999999,96003,2940
0.11534394,96590,2960
0.1159387599999999,97264,2980
0.1173692899999999,98548,3000
0.11867786,99173,3020
0.1196602699999999,100526,3040
0.1235613399999999,101241,3060
0.12836037,101794,3080
0.12853152,102275,3100
0.12846776,103103,3120
0.13312226,104310,3140
0.13306181,105172,3160
0.13125818,105793,3180
0.13446246,106424,3200
0.13844038,107399,3220
0.13248201,108028,3240
0.13554679,108887,3260
0.13405298,109460,3280
0.1308076799999999,110112,3300
0.1328401199999999,110710,3320
0.13778302,111425,3340
0.13964556,112041,3360
0.1421797,112545,3380
0.15282064,113405,3400
0.14715248,113938,3420
0.1493813199999999,114432,3440
0.1457352799999999,114946,3460
0.14896405,115653,3480
0.14024223,116169,3500
0.14588656,116727,3520
0.14001286,117287,3540
0.13692803,117793,3560
0.13685412,118625,3580
0.13623821,119180,3600
0.13516678,119802,3620
0.13485332,120340,3640
0.13925226,120901,3660
0.1314231,121600,3680
0.1343721,122110,3700
0.1312282799999999,122719,3720
0.13404797,123317,3740
0.13757481,123892,3760
0.1463823699999999,124468,3780
0.15601191,125279,3800
0.15676899,125815,3820
0.16427443,126614,3840
0.1635702799999999,127394,3860
0.16104376,127891,3880
0.1513557199999999,128501,3900
0.15154399,129049,3920
0.15156502,129853,3940
0.1527184,130402,3960
0.15444317,131092,3980
0.1614211599999999,131685,4000
0.16957039,133035,4020
0.1652989,133742,4040
0.1576125199999999,134346,4060
0.1672373399999999,135480,4080
0.1626244,136226,4100
0.15819269,136818,4120
0.15544822,137498,4140
0.16573062,138143,4160
0.15576453,138699,4180
