time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
50754,25.55,0.0258076,86,589,1660,0.5178370000000003,188,0.0001,0.0001697218685876578
51263,25.28,0.02454961,93,550,1680,0.5130014999999994,315,0.0001,6.640239917032886e-06
51720,24.95,0.02397805,100,516,1700,0.5086600000000001,429,0.0001,3.097861190326512e-05
52208,24.86,0.02320103,107,485,1720,0.5040239999999998,551,0.0001,0.00016563675308134407
52616,23.81,0.020910849999999995,113,464,1740,0.500148,653,0.0001,1.006320417218376e-05
53053,22.99,0.024978350000000003,119,443,1760,0.49599649999999995,763,0.0001,1.0936460967059247e-05
53785,25.22,0.03047095,130,412,1780,0.4890425000000004,946,0.0001,0.00014626070333179086
54389,26.69,0.03253965,138,391,1800,0.4833044999999999,1097,0.0001,0.00013257621321827173
55175,29.67,0.03727419999999999,150,367,1820,0.47583750000000036,1293,0.0001,7.996128260856494e-06
55776,31.6,0.039971070000000004,159,350,1840,0.47012799999999966,1443,0.0001,0.00013317739649210125
56214,31.61,0.0378233,165,338,1860,0.46596700000000013,1553,0.0001,2.5238188754883595e-05
56712,29.27,0.03690189,173,327,1880,0.4612360000000002,1677,0.0001,6.636230864387471e-06
57430,30.41,0.036928140000000005,184,310,1900,0.45441500000000024,1857,0.0001,0.00014286207442637533
58163,29.88,0.03809632,195,297,1920,0.44745150000000034,2040,0.0001,1.5686640836065635e-05
58718,29.42,0.04199204999999999,203,289,1940,0.44217899999999966,2179,0.0001,1.0404326530988328e-05
59239,30.25,0.047320149999999984,211,280,1960,0.4372294999999997,2309,0.0001,7.779863153700717e-06
59798,30.86,0.043806389999999994,220,271,1980,0.43191899999999994,2449,0.0001,9.240124200005084e-05
60963,35.33,0.04706512,244,249,2000,0.42085150000000016,2740,0.0001,0.0002933034556917846
61628,34.65,0.050697740000000005,258,238,2020,0.41453399999999996,2906,0.0001,4.131424066144973e-05
62547,38.29,0.06257905,275,227,2040,0.4058034999999999,3136,0.0001,3.0220768167055212e-05
63097,38.58,0.07195328999999999,283,222,2060,0.4005785000000005,3274,0.0001,1.947994314832613e-05
63967,41.69,0.08534464000000001,299,213,2080,0.3923135000000001,3491,0.0001,2.356574623263441e-05
64659,36.96,0.08677236,312,207,2100,0.3857394999999999,3664,0.0001,5.115536987432279e-05
65845,42.17,0.09153412000000001,332,198,2120,0.37447249999999976,3961,0.0001,5.406114360084757e-05
66464,39.17,0.091087,341,194,2140,0.36859200000000036,4115,0.0001,0.00015453224477823824
67389,42.92,0.09088234,355,189,2160,0.35980449999999986,4347,0.0001,1.5782334230607376e-05
68431,44.64,0.08822588999999999,371,184,2180,0.3499055,4607,0.0001,4.213161446386948e-05
69150,44.91,0.09058725,388,178,2200,0.3430749999999996,4787,0.0001,2.9089289455441758e-05
69839,39.94,0.08353103999999999,401,173,2220,0.33652950000000026,4959,0.0001,4.645952139981091e-05
70436,39.72,0.08116266000000001,415,169,2240,0.33085800000000065,5108,0.0001,0.00013414536078926176
71289,39.0,0.08304312,430,165,2260,0.3227544999999997,5322,0.0001,4.292021185392514e-05
72343,39.12,0.08767737999999997,447,161,2280,0.31274149999999956,5585,0.0001,2.2710957637173124e-05
73104,39.54,0.09433638999999999,460,158,2300,0.30551199999999956,5775,0.0001,2.1023688532295637e-05
73760,39.21,0.10139744000000002,471,156,2320,0.29927999999999966,5939,0.0001,1.402734596922528e-05
74305,38.69,0.10015974999999999,480,154,2340,0.2941025000000005,6076,0.0001,0.0001396355510223657
75413,41.24,0.10402534000000001,499,151,2360,0.28357650000000056,6353,0.0001,3.4709126339294016e-05
76083,37.4,0.10143388000000002,510,149,2380,0.27721149999999994,6520,0.0001,1.731447446218226e-05
76670,35.66,0.09922003,520,147,2400,0.27163499999999996,6667,0.0001,9.13871917873621e-06
77116,33.56,0.09863573,529,145,2420,0.26739800000000047,6778,0.0001,4.6722343540750444e-05
77770,34.65,0.10318809,541,143,2440,0.261185,6942,0.0001,4.4633849029196426e-05
78852,34.39,0.10473594000000003,561,140,2460,0.25090599999999974,7212,0.0001,9.720178786665201e-05
79633,35.5,0.10661596999999999,574,138,2480,0.2434865000000005,7408,0.0001,1.8941587768495083e-05
