time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
38,0.031184000000000003,32.45,50144,1640,1291,0.5236320000000003,1.9070714918537712e-05,0.0001441684033125057,10
45,0.024085359999999997,30.86,50590,1660,1115,0.5193949999999998,1.9070714918537712e-05,9.104652654059464e-05,80
51,0.0195358,25.97,51022,1680,998,0.5152909999999999,1.9070714918537712e-05,9.298637905885698e-05,140
60,0.023051690000000003,27.09,51711,1700,852,0.5087455000000005,1.9070714918537712e-05,4.9229600199396374e-05,210
68,0.023507040000000003,25.24,52127,1720,762,0.5047934999999997,1.9070714918537712e-05,9.168824581138325e-05,280
74,0.025103499999999997,24.06,52550,1740,707,0.5007750000000002,1.9070714918537712e-05,9.486979779467219e-05,340
82,0.031186540000000002,27.08,53298,1760,645,0.49366900000000047,1.9070714918537712e-05,7.696376842432073e-05,410
91,0.03435112,30.35,54057,1780,591,0.4864584999999999,1.9070714918537712e-05,6.158585497360037e-05,480
97,0.02531308,28.27,54538,1800,558,0.48188900000000034,1.9070714918537712e-05,6.696121918139397e-05,540
105,0.02783472,29.58,55085,1820,523,0.47669249999999963,1.9070714918537712e-05,7.902212350927585e-05,610
112,0.034400810000000004,30.84,55634,1840,495,0.47147700000000037,1.9070714918537712e-05,7.269369525602088e-05,680
120,0.034390899999999995,30.06,56304,1860,469,0.46511199999999986,1.9070714918537712e-05,6.0372898951754904e-05,740
127,0.02989756,27.33,56790,1880,447,0.460495,1.9070714918537712e-05,4.19163749938889e-05,810
133,0.028708289999999997,27.18,57256,1900,429,0.45606800000000025,1.9070714918537712e-05,5.299319191180985e-05,880
138,0.02744427,26.22,57707,1920,416,0.45178350000000056,1.9070714918537712e-05,6.596320508833742e-05,940
144,0.017550999999999997,25.47,58181,1940,402,0.44728049999999964,1.9070714918537712e-05,6.075871783650655e-05,1010
151,0.018675010000000002,23.33,58637,1960,387,0.44294849999999963,1.9070714918537712e-05,6.475535501522245e-05,1080
156,0.01915869,23.12,59102,1980,377,0.4385310000000002,1.9070714918537712e-05,8.522089301550295e-05,1140
164,0.02863105,24.13,59669,2000,363,0.43314450000000027,1.9070714918537712e-05,8.632446656520187e-05,1210
171,0.03493698,24.75,60182,2020,350,0.4282710000000005,1.9070714918537712e-05,7.02943155374669e-05,1280
180,0.042615560000000004,26.24,60805,2040,336,0.4223525,1.9070714918537712e-05,2.836581679730443e-05,1340
187,0.045254180000000005,27.6,61397,2060,326,0.4167284999999997,1.9070714918537712e-05,7.56197498049005e-05,1410
195,0.05167939000000001,29.39,62041,2080,317,0.4106104999999999,1.9070714918537712e-05,9.947111802830478e-05,1480
208,0.06281737,34.68,63137,2100,302,0.4001985000000001,1.9070714918537712e-05,4.326988250795694e-05,1540
223,0.07170368999999999,40.69,64251,2120,287,0.38961549999999956,1.9070714918537712e-05,8.871074087437591e-05,1610
231,0.07496278,38.98,64703,2140,279,0.3853215000000004,1.9070714918537712e-05,7.488818300771527e-05,1680
239,0.08011878,40.28,65425,2160,273,0.3784625000000005,1.9070714918537712e-05,6.146177879600146e-05,1740
246,0.08347523000000001,38.86,65927,2180,267,0.37369350000000046,1.9070714918537712e-05,7.552192446382832e-05,1810
255,0.07644336,35.3,66667,2200,261,0.3666634999999997,1.9070714918537712e-05,6.115254273026949e-05,1880
281,0.0757816,36.12,67863,2220,240,0.35530149999999994,1.9070714918537712e-05,6.189310588524676e-05,1940
294,0.08032638,40.05,68708,2240,233,0.3472740000000002,1.9070714918537712e-05,8.828151494526537e-05,2010
306,0.07399297,40.36,69461,2260,226,0.34012050000000016,1.9070714918537712e-05,8.245256321970373e-05,2080
316,0.07582465,41.92,70119,2280,221,0.3338694999999997,1.9070714918537712e-05,6.590740322280908e-05,2140
327,0.07345479,41.33,70800,2300,216,0.32740000000000036,1.9070714918537712e-05,6.076130748624564e-05,2210
336,0.07551824,35.83,71446,2320,212,0.32126299999999997,1.9070714918537712e-05,4.152568826611969e-05,2280
347,0.07730374,34.68,72176,2340,207,0.31432799999999994,1.9070714918537712e-05,4.961202221238636e-05,2340
357,0.08327024,33.73,72834,2360,203,0.3080770000000005,1.9070714918537712e-05,8.051058466662653e-05,2410
369,0.08886257,36.11,73730,2380,199,0.2995650000000004,1.9070714918537712e-05,5.6474147731933046e-05,2480
377,0.09822749,34.82,74282,2400,196,0.2943210000000004,1.9070714918537712e-05,7.594799735670677e-05,2540
391,0.09973964999999999,37.87,75233,2420,191,0.2852865000000001,1.9070714918537712e-05,7.675627821299714e-05,2610
401,0.09902454000000001,37.21,75897,2440,189,0.27897850000000013,1.9070714918537712e-05,7.50882120883034e-05,2680
412,0.10013862000000001,37.43,76577,2460,185,0.2725185000000001,1.9070714918537712e-05,9.969967959477799e-05,2740
422,0.10036737000000003,34.56,77186,2480,182,0.2667330000000002,1.9070714918537712e-05,6.651948406215525e-05,2810
434,0.09660098,37.25,78007,2500,179,0.2589334999999997,1.9070714918537712e-05,7.347332102654036e-05,2880
