rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/entropy_loss,train/value_loss,train/policy_loss,train/learning_rate,train/explained_variance
0.03664749152542372,139,2048,34.45762711864407,14,1,,,,,,
0.04014744943820224,121,4096,44.37078651685393,33,2,1,-1.9459097385406494,0.0055066486820578575,0.08738542348146439,0.0007,-1.3343853950500488
0.04286316000000001,122,6144,44.07,49,3,2,-1.2957332134246826,1119.015380859375,-41.156105041503906,0.0007,-0.1571962833404541
0.020688790000000002,127,8192,26.78,64,4,3,-1.9450634717941284,0.10605033487081528,-0.619438648223877,0.0007,-0.5629259347915649
0.03003244,126,10240,27.79,81,5,4,-1.937793254852295,11.909543991088867,6.635826110839844,0.0007,-0.7040016651153564
0.03352294,127,12288,32.11,96,6,5,-1.9459048509597778,0.0032600308768451214,-0.07414378225803375,0.0007,-0.037102580070495605
0.01905741,129,14336,23.13,111,7,6,-1.9458363056182861,0.017805539071559906,0.24478811025619507,0.0007,-0.19581663608551025
0.0323079,129,16384,30.37,126,8,7,-1.9458775520324707,0.0017864096444100142,-0.03670075535774231,0.0007,-0.025143027305603027
0.03384921999999999,131,18432,29.58,140,9,8,-1.9458520412445068,0.0016518081538379192,0.01148403249680996,0.0007,-0.0026636123657226562
0.02761283,131,20480,27.36,155,10,9,-1.9458160400390625,0.0014359154738485813,0.00518232025206089,0.0007,-0.005500674247741699
0.0270764,132,22528,30.61,170,11,10,-1.9458110332489014,0.001413225312717259,-0.0025193579494953156,0.0007,-0.0003418922424316406
0.03271403999999999,131,24576,31.79,186,12,11,-1.9457943439483643,0.0015017982805147767,0.0021434235386550426,0.0007,-0.0009974241256713867
0.028468629999999998,132,26624,26.38,201,13,12,-1.9457778930664062,0.0012878603301942348,-0.003433192614465952,0.0007,-0.0010589361190795898
0.033143320000000004,130,28672,29.76,219,14,13,-1.9457716941833496,0.0015201427740976214,0.0017308206297457218,0.0007,0.005263149738311768
0.02990487,130,30720,25.33,235,15,14,-1.9457478523254395,0.0017310583498328924,0.0072586555033922195,0.0007,0.007414281368255615
0.03780703,130,32768,34.71,250,16,15,-1.9457149505615234,0.0016010525869205594,0.0010202322155237198,0.0007,0.005374431610107422
0.028440900000000005,130,34816,31.69,266,17,16,-1.945683240890503,0.0015387267339974642,0.006047413684427738,0.0007,0.014985620975494385
0.03408747,131,36864,32.06,279,18,17,-1.9456812143325806,0.00139650609344244,-0.00900416448712349,0.0007,0.010927915573120117
0.030117650000000006,130,38912,28.21,298,19,18,-1.9456647634506226,0.0016920857597142458,0.0006547863595187664,0.0007,0.015735208988189697
0.028064639999999995,129,40960,30.25,316,20,19,-1.9456294775009155,0.0015398843679577112,0.00095218641217798,0.0007,0.019803285598754883
0.03652285,129,43008,31.49,332,21,20,-1.945602536201477,0.0012360456166788936,-0.0029787695966660976,0.0007,0.01372385025024414
0.04302682,129,45056,38.36,348,22,21,-1.9455682039260864,0.0033818536903709173,0.03797783702611923,0.0007,-0.003449678421020508
0.02663574,129,47104,26.7,364,23,22,-1.9454739093780518,0.0016465781955048442,-0.027067141607403755,0.0007,0.010585665702819824
0.033835069999999995,129,49152,30.29,379,24,23,-1.9454665184020996,0.0013793681282550097,-0.006108060013502836,0.0007,0.010383427143096924
0.03886325,129,51200,30.72,394,25,24,-1.9454536437988281,0.0014026074204593897,0.003376334672793746,0.0007,0.0203934907913208
0.03440148999999999,130,53248,33.74,408,26,25,-1.945438265800476,0.0022717686370015144,0.0077068498358130455,0.0007,0.009121417999267578
0.024240239999999993,130,55296,33.16,424,27,26,-1.945378065109253,0.0014951587654650211,-0.008684071712195873,0.0007,0.011623919010162354
0.028921660000000002,130,57344,31.72,439,28,27,-1.9453868865966797,0.0011555273085832596,-0.015522632747888565,0.0007,0.01792210340499878
0.039376839999999996,130,59392,30.81,454,29,28,-1.9453840255737305,0.0014819297939538956,0.0014669137308374047,0.0007,0.012455642223358154
0.03883455,131,61440,29.89,468,30,29,-1.945354700088501,0.001989348791539669,0.012278592213988304,0.0007,0.021619439125061035
0.03038805,131,63488,30.47,483,31,30,-1.9453176259994507,0.001436341553926468,-0.0047043440863490105,0.0007,0.02660202980041504
0.033737249999999996,130,65536,33.27,500,32,31,-1.9452612400054932,0.0014327504904940724,-0.004206875339150429,0.0007,0.0039841532707214355
0.041400049999999994,131,67584,37.31,514,33,32,-1.9452534914016724,0.0017443604301661253,0.0024710195139050484,0.0007,0.021510660648345947
0.03961294,130,69632,31.56,533,34,33,-1.945255994796753,0.0019002349581569433,0.015944436192512512,0.0007,0.009551942348480225
0.04026949999999999,130,71680,35.2,547,35,34,-1.9451972246170044,0.0015665017999708652,-0.009190330281853676,0.0007,0.037828803062438965
0.023182840000000007,131,73728,30.72,560,36,35,-1.9451987743377686,0.0015956413699313998,0.002773967804387212,0.0007,0.009949982166290283
0.026318099999999997,131,75776,28.05,576,37,36,-1.9451494216918945,0.0012702224776148796,-0.016599461436271667,0.0007,0.016632437705993652
0.03389114,131,77824,29.25,591,38,37,-1.945164442062378,0.0015368571039289236,0.005052139051258564,0.0007,0.011802136898040771
0.03574827,131,79872,35.55,606,39,38,-1.9450998306274414,0.0015110657550394535,-0.0016060206107795238,0.0007,0.03527587652206421
0.03549384,131,81920,36.05,622,40,39,-1.945069432258606,0.0021624895744025707,0.018326904624700546,0.0007,0.010474562644958496
0.029272929999999996,131,83968,30.32,637,41,40,-1.9449759721755981,0.0014234348200261593,-0.0179589930921793,0.0007,0.030590176582336426
