time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/policy_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates
1,77,2048,29.323529411764707,0.02658804411764706,26,,,,,,
2,97,4096,14.49,0.04252160999999998,42,-0.16132640838623047,-11.274913787841797,0.008402954787015915,-1.9459092617034912,0.008304675227817087,1
3,108,6144,19.61,0.01612664,56,-0.0,-786650.625,2467179520.0,-0.0,0.008304675227817087,2
4,118,8192,20.49,0.017482310000000004,69,2.9598546028137207,-1133.2330322265625,3.2344887256622314,-1.7071820497512817,0.008304675227817087,3
5,125,10240,23.03,0.019484829999999998,81,-41.26450729370117,-233.6258087158203,535.2140502929688,-1.8057982921600342,0.008304675227817087,4
6,129,12288,20.99,0.00042507999999999977,94,1.0195703506469727,-0.004974007606506348,0.2804802656173706,-1.922279715538025,0.008304675227817087,5
7,134,14336,24.26,0.033286119999999995,106,-17.985776901245117,-115.69300842285156,577.9656372070312,-0.7735517024993896,0.008304675227817087,6
8,137,16384,24.29,0.02668767,119,0.8731318712234497,-5.719955921173096,0.20418503880500793,-1.9417486190795898,0.008304675227817087,7
9,136,18432,13.87,0.03777325,134,-0.19071604311466217,-0.02956080436706543,0.009804393164813519,-1.939550518989563,0.008304675227817087,8
10,138,20480,21.13,0.0012945199999999993,147,0.0014516129158437252,-41.64419174194336,463.6307678222656,-0.0007216980447992682,0.008304675227817087,9
11,139,22528,20.86,0.031032400000000005,161,-6.718710422515869,-37.56993865966797,49.122371673583984,-0.978182852268219,0.008304675227817087,10
12,140,24576,22.47,0.030958969999999995,174,0.07073736190795898,-0.0012090206146240234,0.0018199699698016047,-1.7187674045562744,0.008304675227817087,11
13,140,26624,21.96,0.027573140000000006,188,-4.32485818862915,-0.5325011014938354,8.896500587463379,-1.4390614032745361,0.008304675227817087,12
14,140,28672,28.01,0.02991187,204,-0.08815553784370422,-1.3553123474121094,0.002543926239013672,-1.8655970096588135,0.008304675227817087,13
15,141,30720,29.39,0.0348465,216,1.7346874475479126,-0.06247091293334961,0.9258827567100525,-1.8081060647964478,0.008304675227817087,14
16,141,32768,29.16,0.03629566,231,0.07833372801542282,-6.520748138427734e-05,0.001817530719563365,-1.9233646392822266,0.008304675227817087,15
